cluster,40
opt,
planning_horizon,2050
carrier,
AC,58.72036525374919
EV battery,73.81411015317357
H2,-65359.46725292715
battery,58.029813238578924
biogas,0.0
co2,0.0091029310234583
co2 sequestered,8743.009368060886
co2 stored,55383.61782563696
home battery,65.99658695203317
low voltage,66.46276821155067
none,0.0
residential rural heat,35.62352566566797
residential urban decentral heat,44.96466710891189
services rural heat,35.62353315111159
services urban decentral heat,44.96495891207207
solid biomass,0.0
urban central heat,33.96651483355839
