component,carrier,bus_carrier,0
Link,services urban decentral air heat pump,low voltage,-128689639.93418
Link,process emissions CC,process emissions,-133887571.46348
Link,CCGT,gas,-136558585.84502
Link,methanolisation,AC,-138648408.00049
Line,AC,AC,-145672605.84941
Link,residential rural ground heat pump,low voltage,-155764268.731
Load,H2 for industry,H2,-179660000.0
Link,Fischer-Tropsch,co2 stored,-201301956.77826
Load,services rural heat,services rural heat,-204568447.88144
Load,agriculture heat,services rural heat,-214811742.63032
Link,electrobiofuels,solid biomass,-217735283.04866
Link,electrobiofuels,H2,-222972613.1166
Load,gas for industry,gas for industry,-231370000.0
Load,naphtha for industry,naphtha for industry,-276860000.0
Link,naphtha for industry,oil,-276860000.75731
Link,solid biomass for industry CC,co2,-289610015.32063
Load,services urban decentral heat,services urban decentral heat,-290777053.14145
Link,residential urban decentral air heat pump,low voltage,-332291417.8361
Link,biogas to gas,biogas,-347279009.85257
Link,shipping methanol,methanol,-502969703.16816
Load,shipping methanol,shipping methanol,-502969704.58576
Link,urban central air heat pump,low voltage,-531432421.24946
Load,residential rural heat,residential rural heat,-547909224.68024
Link,methanolisation,H2,-582348559.69889
Link,kerosene for aviation,oil,-743906975.24533
Load,kerosene for aviation,kerosene for aviation,-743906976.62384
Load,solid biomass for industry,solid biomass for industry,-748220000.0
Load,residential urban decentral heat,residential urban decentral heat,-750011223.64407
Link,solid biomass for industry CC,solid biomass,-831340735.49476
Link,Fischer-Tropsch,H2,-979939221.86018
Load,land transport EV,EV battery,-980491450.39726
Link,BEV charger,low voltage,-1162456221.51104
Load,electricity,low voltage,-1574967174.57493
Load,industry electricity,low voltage,-1769410000.0
Load,urban central heat,urban central heat,-1795359777.45503
Link,H2 Electrolysis,AC,-2910393355.33369
Link,electricity distribution grid,AC,-5633411186.8045
