carrier,0
H2 Electrolysis,-inf
H2 pipeline,-inf
battery charger,-inf
methanolisation,-inf
electricity distribution grid,-7392.531660149369
AC,8.690539850943436
DC,13.767468331854325
battery discharger,23.624954698902094
solar,28.035932037539933
solar-hsat,35.32160805433461
onwind,35.82560334307361
offwind-ac,44.32749630027775
ror,47.079532272644904
load,49.08747044917257
offwind-dc,52.0949739069989
nuclear,67.22043324164922
hydro,102.08836432039779
PHS,103.03865028484144
waste CHP CC,137.54645748463028
waste CHP,205.7859169043468
CCGT,452.67626148417463
