,0
AC,46.4497149540011
EV battery,59.65828095175332
H2,78.16637114338373
agriculture machinery oil,126.50129679268338
battery,33.87239483846238
co2,-261.23790871300906
co2 sequestered,-178.66867948408472
co2 stored,-178.6767465296912
coal,9.563217642092791
coal for industry,97.37590341300921
gas,24.57749901468805
gas for industry,72.77228917264797
home battery,38.04285002278385
industry methanol,117.08542377438413
kerosene for aviation,126.50214590078045
land transport oil,126.50213413251288
low voltage,70.84452175023458
methanol,51.94609299266791
naphtha for industry,65.94374679012743
non-sequestered HVC,-61.056805784835724
oil,59.32698553453842
oil primary,52.92167088689997
process emissions,-206.6102929799398
residential rural heat,78.03588838994148
residential urban decentral heat,85.81776859469859
services rural heat,55.469065010033646
services urban decentral heat,87.83399887445745
shipping methanol,117.0851848309828
shipping oil,126.50042007127173
solid biomass,13.65827960838246
solid biomass for industry,-7.074596378452409
urban central heat,59.00248559593707
