component,carrier,bus_carrier,0
Link,electricity distribution grid,low voltage,5446998062.05398
Generator,solar,AC,2181218373.05375
Generator,onwind,AC,1962623374.97786
Link,urban central air heat pump,urban central heat,1649967800.95185
Link,H2 Electrolysis,H2,1557250015.33526
Generator,solid biomass,solid biomass,1049092852.49522
Link,BEV charger,EV battery,980490750.13939
Generator,offwind-dc,AC,923723886.40635
Generator,offwind-ac,AC,893947350.71786
Link,battery charger,battery,889305246.66063
Generator,solar-hsat,AC,887148047.20612
Link,battery discharger,AC,871338169.23743
Generator,nuclear,AC,752484570.16879
Link,residential urban decentral air heat pump,residential urban decentral heat,749782147.39806
Link,solid biomass for industry CC,solid biomass for industry,748187111.22953
Link,kerosene for aviation,kerosene for aviation,743906957.52454
Link,Fischer-Tropsch,oil,525320950.91872
Link,methanolisation,methanol,511709588.28007
Link,residential rural ground heat pump,residential rural heat,506345295.12732
Link,shipping methanol,shipping methanol,502969685.30318
Generator,gas,gas,440884818.43275
Link,services rural ground heat pump,services rural heat,386827577.92699
Generator,solar rooftop,low voltage,346752052.88054
StorageUnit,hydro,AC,340445692.12175
Link,services urban decentral air heat pump,services urban decentral heat,290601465.49439
Link,solid biomass for industry CC,co2 stored,289602447.78164
Link,electrobiofuels,oil,289202585.5425
Link,naphtha for industry,naphtha for industry,276859984.9097
Generator,oil primary,oil primary,271381543.36766
Link,oil refining,oil,257659411.65323
Link,co2 sequestered,co2 sequestered,249966621.77972
Link,gas for industry CC,gas for industry,231286457.36491
Link,kerosene for aviation,co2,191258478.77956
Generator,ror,AC,161701200.28973
Link,process emissions CC,co2 stored,127187853.40805
Link,shipping methanol,co2,124741371.81696
Load,process emissions,process emissions,123130000.0
Store,non-sequestered HVC,non-sequestered HVC,117504290.159
Link,waste CHP CC,urban central heat,87735154.98813
Link,CCGT,AC,82026424.6115
Link,SMR CC,H2,80154875.32576
Link,H2 Electrolysis,urban central heat,77626629.94428
Link,biogas to gas,gas,77392608.72136
Generator,biogas,biogas,77392580.02781
Link,home battery charger,home battery,61306924.19945
Link,home battery discharger,low voltage,60068835.49995
Link,agriculture machinery oil,agriculture machinery oil,51423799.10354
Link,gas for industry CC,co2 stored,48338869.58927
Link,residential rural air heat pump,residential rural heat,41362523.01831
Link,services rural air heat pump,services rural heat,32343635.43574
Link,CCGT,co2,27068720.1218
Link,waste CHP CC,co2 stored,26628834.22172
Link,waste CHP CC,AC,24915262.58266
Link,Fischer-Tropsch,urban central heat,24769864.47681
Link,SMR CC,co2 stored,20700867.80152
Link,agriculture machinery oil,co2,13221058.74952
Link,methanolisation,urban central heat,12382342.95947
Link,naphtha for industry,process emissions,10759999.41352
Link,industry methanol,industry methanol,8739980.56264
Link,SMR,H2,8340664.80012
Link,process emissions CC,co2,6694097.54779
Link,oil refining,co2,3527960.06378
Link,waste CHP CC,co2,2958759.35797
Link,Sabatier,gas,2642565.9441
Link,gas for industry CC,co2,2544151.03101
Link,SMR CC,co2,2300096.42239
Link,SMR,co2,2172962.67161
Link,industry methanol,co2,2167600.14946
Link,waste CHP,urban central heat,1817845.49587
Link,waste CHP,co2,615848.42918
Link,waste CHP,AC,518596.59633
Generator,urban central solar thermal,urban central heat,400062.38177
Generator,residential urban decentral solar thermal,residential urban decentral heat,229076.18494
Generator,services rural solar thermal,services rural heat,209067.22293
Generator,residential rural solar thermal,residential rural heat,201496.60851
Generator,services urban decentral solar thermal,services urban decentral heat,185587.59804
Link,Sabatier,urban central heat,120104.13525
Link,gas for industry,gas for industry,83529.2603
Link,solid biomass for industry,solid biomass for industry,32877.28973
Link,gas for industry,co2,16538.79354
Link,process emissions,co2,8069.39344
Link,biomass to liquid,oil,7713.57429
Link,HVC to air,co2,6931.0172
Generator,load,EV battery,768.41806
Generator,load,H2,629.94236
Generator,load,home battery,625.96714
Generator,load,battery,575.8328
Generator,load,low voltage,563.14996
Generator,load,AC,550.82747
Generator,load,non-sequestered HVC,52.21433
Generator,load,biogas,28.69355
Generator,load,co2 sequestered,23.36011
Generator,load,co2 stored,21.70519
Generator,load,process emissions,20.87197
Generator,load,agriculture machinery oil,20.25087
Generator,load,oil,20.07841
Generator,load,methanol,19.97718
Generator,load,industry methanol,19.43736
Generator,load,shipping methanol,19.28276
Generator,load,gas for industry,19.14603
Generator,load,kerosene for aviation,19.09888
