cost,component,carrier,0
capital,Generator,biogas,0.0
capital,Generator,gas,0.0
capital,Generator,load,0.0
capital,Generator,nuclear,116401005507.69817
capital,Generator,offwind-ac,38126679096.2883
capital,Generator,offwind-dc,44738681125.32502
capital,Generator,oil primary,0.0
capital,Generator,onwind,70693439212.06136
capital,Generator,residential rural solar thermal,29236150.70183
capital,Generator,residential urban decentral solar thermal,31211604.59569
capital,Generator,ror,15121742314.61956
capital,Generator,services rural solar thermal,29314631.59744
capital,Generator,services urban decentral solar thermal,28724878.61683
capital,Generator,solar,57978931486.5731
capital,Generator,solar rooftop,9723573114.32509
capital,Generator,solar-hsat,18984855531.56975
capital,Generator,solid biomass,0.0
capital,Generator,urban central solar thermal,32701574.07004
capital,Line,AC,7596316731.73605
capital,Link,BEV charger,0.0
capital,Link,CCGT,17856359348.27132
capital,Link,DC,16218802205.22491
capital,Link,Fischer-Tropsch,4537975297.09971
capital,Link,H2 Electrolysis,41773322158.3467
capital,Link,H2 pipeline,1243554671.24504
capital,Link,HVC to air,0.0
capital,Link,SMR,1190708376.65461
capital,Link,SMR CC,5266346875.80476
capital,Link,Sabatier,36277357.55742
capital,Link,agriculture machinery oil,0.0
capital,Link,battery charger,3526478547.88068
capital,Link,battery discharger,0.0
capital,Link,biogas to gas,1613155146.83058
capital,Link,biomass to liquid,1287396.8936
capital,Link,co2 sequestered,0.0
capital,Link,electricity distribution grid,50652421511.89574
capital,Link,electrobiofuels,4425771530.5477
capital,Link,gas for industry,0.0
capital,Link,gas for industry CC,1211917612.87244
capital,Link,home battery charger,396815830.13924
capital,Link,home battery discharger,0.0
capital,Link,industry methanol,0.0
capital,Link,kerosene for aviation,0.0
capital,Link,methanolisation,5070422890.08528
capital,Link,naphtha for industry,0.0
capital,Link,oil refining,0.0
capital,Link,process emissions,0.0
capital,Link,process emissions CC,3187020554.62762
capital,Link,residential rural air heat pump,7143765196.86266
capital,Link,residential rural ground heat pump,19208470954.78441
capital,Link,residential urban decentral air heat pump,28536853419.83972
capital,Link,services rural air heat pump,3276913449.63449
capital,Link,services rural ground heat pump,10144592977.57058
capital,Link,services urban decentral air heat pump,11853488469.14026
capital,Link,shipping methanol,0.0
capital,Link,solid biomass for industry,0.0
capital,Link,solid biomass for industry CC,7255347791.00827
capital,Link,urban central air heat pump,54609230609.23804
capital,Link,waste CHP,254274643.49482
capital,Link,waste CHP CC,6903031606.45381
capital,StorageUnit,PHS,10238012412.75842
capital,StorageUnit,hydro,19440523664.00005
capital,Store,EV battery,0.0
capital,Store,H2 Store,1333878042.54149
capital,Store,battery,16991534787.73728
capital,Store,co2,0.0
capital,Store,co2 sequestered,7499004543.81818
capital,Store,co2 stored,2238812.64055
capital,Store,gas,2239672.06811
capital,Store,home battery,1040294531.37764
capital,Store,methanol,415060669.01134
capital,Store,non-sequestered HVC,0.0
capital,Store,oil,1758958.5103
marginal,Generator,biogas,4832771709.92826
marginal,Generator,gas,10836415347.30152
marginal,Generator,load,404208156.17375
marginal,Generator,nuclear,10544450312.52887
marginal,Generator,offwind-ac,21891902.78969
marginal,Generator,offwind-dc,22734363.57019
marginal,Generator,oil primary,14362056110.59164
marginal,Generator,onwind,49578459.83694
marginal,Generator,residential rural solar thermal,1976.70822
marginal,Generator,residential urban decentral solar thermal,2299.03742
marginal,Generator,ror,1574927.52488
marginal,Generator,services rural solar thermal,2083.00808
marginal,Generator,services urban decentral solar thermal,1858.6907
marginal,Generator,solar,43417750.34432
marginal,Generator,solar rooftop,6831691.02636
marginal,Generator,solar-hsat,17851761.65292
marginal,Generator,solid biomass,14328793195.32188
marginal,Generator,urban central solar thermal,3954.79589
marginal,Link,BEV charger,10966690.14836
marginal,Link,CCGT,348603681.07877
marginal,Link,DC,17777452.54661
marginal,Link,Fischer-Tropsch,1179560337.76121
marginal,Link,H2 Electrolysis,22257958.49379
marginal,Link,H2 pipeline,7503829.38534
marginal,Link,HVC to air,271.3183
marginal,Link,SMR,107845.57341
marginal,Link,SMR CC,1157875.36189
marginal,Link,Sabatier,32900.38443
marginal,Link,agriculture machinery oil,528248.17964
marginal,Link,battery charger,9110054.33008
marginal,Link,battery discharger,8674627.78583
marginal,Link,biogas to gas,209714817.99668
marginal,Link,biomass to liquid,8893.69886
marginal,Link,co2 sequestered,2683752.90795
marginal,Link,electricity distribution grid,58048819.51181
marginal,Link,electrobiofuels,378713272.19379
marginal,Link,gas for industry,917.02493
marginal,Link,gas for industry CC,2652273.89429
marginal,Link,home battery charger,619132.33539
marginal,Link,home battery discharger,604145.48548
marginal,Link,industry methanol,89452.76038
marginal,Link,kerosene for aviation,7971681.09209
marginal,Link,methanolisation,5485572.63677
marginal,Link,naphtha for industry,2921016.89163
marginal,Link,oil refining,2739120.50689
marginal,Link,process emissions,85.90926
marginal,Link,process emissions CC,1296599.1758
marginal,Link,residential rural air heat pump,-420388.67819
marginal,Link,residential rural ground heat pump,-5162778.17382
marginal,Link,residential urban decentral air heat pump,-7374826.04116
marginal,Link,services rural air heat pump,-326342.26525
marginal,Link,services rural ground heat pump,-3911150.67414
marginal,Link,services urban decentral air heat pump,-2858492.05837
marginal,Link,shipping methanol,5188077.09069
marginal,Link,solid biomass for industry,340.35045
marginal,Link,solid biomass for industry CC,8503621.28654
marginal,Link,urban central air heat pump,-16566857.31148
marginal,Link,waste CHP,64757855.03233
marginal,Link,waste CHP CC,3111178328.54003
marginal,StorageUnit,PHS,940023.76542
marginal,StorageUnit,hydro,3447450.98101
marginal,Store,EV battery,-0.67444
marginal,Store,H2 Store,0.0
marginal,Store,battery,0.0
marginal,Store,co2,-0.10419
marginal,Store,co2 sequestered,22517584.77558
marginal,Store,co2 stored,-0.0
marginal,Store,gas,0.0
marginal,Store,home battery,-0.0
marginal,Store,methanol,-0.0
marginal,Store,non-sequestered HVC,1126700.19202
marginal,Store,oil,0.0
