,0
AC,46.99933656721515
EV battery,60.17079681746587
H2,72.03143858594404
agriculture machinery oil,139.74421201044865
battery,38.47461518733218
biogas,62.43380131651391
co2,-310.1842222409345
co2 sequestered,-154.96031940260838
co2 stored,-154.9620892358137
gas,24.56605551238418
gas for industry,68.32327041092712
home battery,40.18670169403273
industry methanol,133.58242602777437
kerosene for aviation,139.74465553006385
low voltage,70.029359899566
methanol,56.343278019067846
naphtha for industry,67.24493805481214
non-sequestered HVC,-53.50136720242964
oil,59.985604019251355
oil primary,52.92200763675001
process emissions,-186.51542323987536
residential rural heat,83.94460265303312
residential urban decentral heat,91.44847759243461
services rural heat,58.82432800274676
services urban decentral heat,94.71515664607742
shipping methanol,133.58250602563447
solid biomass,99.79043299603786
solid biomass for industry,60.50145553865342
urban central heat,68.15631781220382
