carrier,0
H2 Electrolysis,-inf
H2 pipeline,-inf
battery charger,-inf
methanolisation,-inf
electricity distribution grid,-5079.910502307724
AC,12.919597078236519
DC,14.857746332085302
solar-hsat,20.679151838016733
solar,26.190136089845257
onwind,38.13463899993779
offwind-ac,45.09247835366165
offwind-dc,51.373325696126955
ror,51.45511979448142
battery discharger,56.39531586464382
CCGT,59.11656076250993
load,59.32310469314079
waste CHP,62.60584518167457
nuclear,83.17334176352136
PHS,86.07491086031196
hydro,119.6522036312306
waste CHP CC,571.6437494620249
