component,carrier,bus_carrier,0
Link,electricity distribution grid,low voltage,5530776100.15498
Generator,offwind-dc,AC,2191547714.12352
Generator,onwind,AC,2013156382.7039
Generator,solar,AC,1964631829.78146
Link,H2 Electrolysis,H2,1840857288.34405
Link,urban central air heat pump,urban central heat,1620370122.13786
Link,BEV charger,EV battery,980490977.94585
Generator,offwind-ac,AC,973813350.71881
Link,Fischer-Tropsch,oil,862000956.59051
Generator,solid biomass,solid biomass,831355539.19883
Link,battery charger,battery,817199143.70135
Link,battery discharger,AC,800688795.2096
Link,residential urban decentral air heat pump,residential urban decentral heat,749940051.6621
Link,solid biomass for industry CC,solid biomass for industry,748219987.36247
Generator,nuclear,AC,670190932.72347
Link,kerosene for aviation,kerosene for aviation,557347969.80034
Link,residential rural ground heat pump,residential rural heat,519416823.8223
Link,methanolisation,methanol,511709167.37252
Link,shipping methanol,shipping methanol,502969501.50321
Link,services rural ground heat pump,services rural heat,395690907.77739
Generator,solar-hsat,AC,381126643.0984
StorageUnit,hydro,AC,341034777.08525
Link,services urban decentral air heat pump,services urban decentral heat,290729872.70473
Link,solid biomass for industry CC,co2 stored,289615173.21947
Link,home battery charger,home battery,284179062.51909
Link,home battery discharger,low voltage,278437906.19509
Link,naphtha for industry,naphtha for industry,276859987.41532
Generator,solar rooftop,low voltage,258339149.29142
Generator,gas,gas,257078494.50984
Link,gas for industry CC,gas for industry,231369962.75514
Generator,load,kerosene for aviation,186559006.82309
Generator,ror,AC,163386246.361
Link,co2 sequestered,co2 sequestered,143827409.03412
Link,kerosene for aviation,co2,143294163.03567
Link,process emissions CC,co2 stored,127195680.19217
Link,shipping methanol,co2,124741326.23278
Load,process emissions,process emissions,123130000.0
Store,non-sequestered HVC,non-sequestered HVC,117504290.159
Link,H2 Electrolysis,urban central heat,91620128.91465
Link,waste CHP CC,urban central heat,89584153.43601
Link,gas for industry CC,co2 stored,48356322.21582
Link,Fischer-Tropsch,urban central heat,40702180.3771
Link,residential rural air heat pump,residential rural heat,28429652.68937
Link,agriculture machinery oil,agriculture machinery oil,27813996.86473
Link,waste CHP CC,co2 stored,27189205.91727
Link,waste CHP CC,AC,25439574.23004
Link,services rural air heat pump,services rural heat,23623057.62036
Generator,load,agriculture machinery oil,23609822.48967
Link,methanolisation,urban central heat,12397911.50772
Link,naphtha for industry,process emissions,10759999.5109
Link,industry methanol,industry methanol,8739690.61094
Link,agriculture machinery oil,co2,7150978.59392
Link,process emissions CC,co2,6694509.4838
Link,waste CHP CC,co2,3021022.8797
Link,gas for industry CC,co2,2545069.59031
Link,industry methanol,co2,2167528.23862
Generator,urban central solar thermal,urban central heat,144522.78028
Generator,residential urban decentral solar thermal,residential urban decentral heat,70265.12776
Generator,services rural solar thermal,services rural heat,65357.94894
Generator,residential rural solar thermal,residential rural heat,62242.11749
Generator,services urban decentral solar thermal,services urban decentral heat,56090.53531
Generator,oil primary,oil primary,22076.68331
Link,oil refining,oil,20960.39827
Generator,load,services urban decentral heat,1093.67505
Generator,load,residential urban decentral heat,910.48997
Generator,load,services rural heat,886.82254
Generator,load,residential rural heat,525.70855
Generator,load,H2,475.78765
Generator,load,EV battery,472.45142
Link,CCGT,AC,441.11164
Generator,load,home battery,439.77568
Generator,load,battery,439.44563
Generator,load,low voltage,437.24341
Generator,load,co2 sequestered,437.20505
Generator,load,AC,436.75242
Generator,load,urban central heat,380.96391
Link,waste CHP,urban central heat,380.27486
Generator,load,co2 stored,323.79798
Generator,load,industry methanol,309.38906
Link,oil refining,co2,286.99688
Generator,load,shipping methanol,203.08273
Generator,load,process emissions,193.43914
Link,CCGT,co2,145.56684
Link,waste CHP,co2,131.6586
Link,waste CHP,AC,110.8677
Generator,load,non-sequestered HVC,40.78409
Link,gas for industry,gas for industry,24.83014
Generator,load,oil,14.94541
Generator,load,methanol,13.03828
Generator,load,gas for industry,12.81821
Generator,load,naphtha for industry,12.58512
Generator,load,solid biomass,10.44405
Link,solid biomass for industry,solid biomass for industry,8.05862
Link,gas for industry,co2,4.91637
Generator,load,solid biomass for industry,4.78751
Link,HVC to air,co2,3.43795
Link,process emissions,co2,3.27156
Store,methanol,methanol,0.0
Store,home battery,home battery,-0.0
Store,gas,gas,0.0
Store,battery,battery,-0.0
Store,H2 Store,H2,0.0
Store,co2 stored,co2 stored,0.0
Generator,biogas,biogas,0.0
Store,oil,oil,0.0
Generator,load,biogas,0.0
Generator,load,co2,0.0
Generator,load,gas,0.0
Generator,load,none,0.0
Generator,load,oil primary,0.0
Link,H2 pipeline,H2,0.0
Store,co2,co2,-0.68346
Link,process emissions,process emissions,-3.27156
Link,solid biomass for industry,solid biomass,-8.05862
Link,HVC to air,non-sequestered HVC,-13.37204
Link,gas for industry,gas,-24.83014
