carrier,0
AC,58.839275494125104
EV battery,73.95459413247723
H2,84.36628440885188
agriculture machinery oil,100000.0075568904
battery,59.099162144382056
biogas,0.0
co2,-388595.3168321386
co2 sequestered,-14.80130260270129
co2 stored,-13.588141819952506
gas,24.577329720086876
gas for industry,4309.942412506138
home battery,65.82164770555308
industry methanol,96458.38594834083
kerosene for aviation,100000.00782489365
low voltage,66.5491547965255
methanol,82.95953824915019
naphtha for industry,848.7053054226915
non-sequestered HVC,-9975.9548491408
none,0.0
oil,92.14255032627108
oil primary,52.92054431409998
process emissions,-19466.47721619537
residential rural heat,34.65568476462097
residential urban decentral heat,42.34033138273898
services rural heat,34.742126756608364
services urban decentral heat,42.99313423795532
shipping methanol,96458.38625246868
solid biomass,13.65916577619653
solid biomass for industry,-150384.3105079706
urban central heat,15.130703660988397
