,0
AC,54.48854915233198
EV battery,83.43583765697494
H2,73.26710916911313
agriculture machinery oil,100000.00755688956
battery,44.42740117001835
co2,-388595.31683213974
co2 sequestered,-11.322942613145146
co2 stored,-12.76101401464681
gas,24.57732972119473
gas for industry,4309.942412506101
home battery,54.75239155041023
industry methanol,96458.38594834131
kerosene for aviation,100000.00782489295
low voltage,80.95525068049037
methanol,82.95947297876822
naphtha for industry,848.7053054226894
non-sequestered HVC,-9975.875682219837
oil,92.14255126121452
oil primary,52.92054431410002
process emissions,-19466.477216267293
residential rural heat,96.13950245575508
residential urban decentral heat,109.54161892742543
services rural heat,65.37947301051827
services urban decentral heat,111.11331673109572
shipping methanol,96458.38625246732
solid biomass,13.659165776196575
solid biomass for industry,-150384.31050797142
urban central heat,78.59892876902101
