cost,component,carrier,0
capital,Generator,biogas,0.0
capital,Generator,gas,0.0
capital,Generator,load,0.0
capital,Generator,nuclear,116396984688.59303
capital,Generator,offwind-ac,41142656083.51296
capital,Generator,offwind-dc,111677170665.71597
capital,Generator,oil primary,0.0
capital,Generator,onwind,78140340939.33553
capital,Generator,residential rural solar thermal,16313511.61546
capital,Generator,residential urban decentral solar thermal,16719616.73529
capital,Generator,ror,15121742314.61956
capital,Generator,services rural solar thermal,16355218.92333
capital,Generator,services urban decentral solar thermal,15961745.22833
capital,Generator,solar,51427033843.98963
capital,Generator,solar rooftop,7036244448.43111
capital,Generator,solar-hsat,7884385900.81809
capital,Generator,solid biomass,0.0
capital,Generator,urban central solar thermal,18030818.69409
capital,Line,AC,9074492804.1709
capital,Link,BEV charger,0.0
capital,Link,CCGT,41048174.49742
capital,Link,DC,23035930223.18783
capital,Link,Fischer-Tropsch,6822017428.86614
capital,Link,H2 Electrolysis,43990158889.2885
capital,Link,H2 pipeline,1980557164.96222
capital,Link,HVC to air,0.0
capital,Link,agriculture machinery oil,0.0
capital,Link,battery charger,3594729070.7611
capital,Link,battery discharger,0.0
capital,Link,co2 sequestered,0.0
capital,Link,electricity distribution grid,52930144207.38403
capital,Link,gas for industry,0.0
capital,Link,gas for industry CC,1212312166.86604
capital,Link,home battery charger,2091079611.78493
capital,Link,home battery discharger,0.0
capital,Link,industry methanol,0.0
capital,Link,kerosene for aviation,0.0
capital,Link,methanolisation,4824815873.12509
capital,Link,naphtha for industry,0.0
capital,Link,oil refining,0.0
capital,Link,process emissions,0.0
capital,Link,process emissions CC,3187170664.68574
capital,Link,residential rural air heat pump,6808458411.50312
capital,Link,residential rural ground heat pump,21507238756.50232
capital,Link,residential urban decentral air heat pump,30396151129.4913
capital,Link,services rural air heat pump,3178796741.38774
capital,Link,services rural ground heat pump,10768489751.89954
capital,Link,services urban decentral air heat pump,12367610047.29541
capital,Link,shipping methanol,0.0
capital,Link,solid biomass for industry,0.0
capital,Link,solid biomass for industry CC,7255637035.16192
capital,Link,urban central air heat pump,49215836131.04482
capital,Link,waste CHP,41137551.46267
capital,Link,waste CHP CC,39770187441.5749
capital,StorageUnit,PHS,10238012412.75842
capital,StorageUnit,hydro,19440523664.00005
capital,Store,H2 Store,6579400491.75089
capital,Store,battery,19421591333.86306
capital,Store,co2,0.0
capital,Store,co2 sequestered,509484737079.47253
capital,Store,co2 stored,74317641210.06512
capital,Store,gas,905985485786.5974
capital,Store,home battery,7489151659.10589
capital,Store,methanol,472750244517.7665
capital,Store,non-sequestered HVC,0.0
capital,Store,oil,460812947610.10547
marginal,Generator,biogas,0.0
marginal,Generator,gas,6318666956.36275
marginal,Generator,load,21017692488444.773
marginal,Generator,nuclear,9391366880.5612
marginal,Generator,offwind-ac,23856415.5716
marginal,Generator,offwind-dc,55337245.28548
marginal,Generator,oil primary,1168310.09724
marginal,Generator,onwind,50948481.86774
marginal,Generator,residential rural solar thermal,624.56406
marginal,Generator,residential urban decentral solar thermal,700.83982
marginal,Generator,ror,1595603.36257
marginal,Generator,services rural solar thermal,651.11528
marginal,Generator,services urban decentral solar thermal,556.98362
marginal,Generator,solar,39093752.40429
marginal,Generator,solar rooftop,5191069.83337
marginal,Generator,solar-hsat,7669504.11399
marginal,Generator,solid biomass,11356071509.5793
marginal,Generator,urban central solar thermal,1437.54338
marginal,Link,BEV charger,10827606.71148
marginal,Link,CCGT,1874.43922
marginal,Link,DC,21746021.13095
marginal,Link,Fischer-Tropsch,1935420120.29107
marginal,Link,H2 Electrolysis,25295613.41081
marginal,Link,H2 pipeline,10060057.70211
marginal,Link,HVC to air,0.12998
marginal,Link,agriculture machinery oil,251689.44758
marginal,Link,battery charger,8519253.98756
marginal,Link,battery discharger,8204572.38556
marginal,Link,co2 sequestered,1553960.66581
marginal,Link,electricity distribution grid,57865341.86568
marginal,Link,gas for industry,0.25786
marginal,Link,gas for industry CC,2689205.51899
marginal,Link,home battery charger,2965188.53188
marginal,Link,home battery discharger,2834865.65847
marginal,Link,industry methanol,86692.78701
marginal,Link,kerosene for aviation,5192824.66858
marginal,Link,methanolisation,5827034.7083
marginal,Link,naphtha for industry,2669529.85446
marginal,Link,oil refining,209.93236
marginal,Link,process emissions,0.03055
marginal,Link,process emissions CC,1326883.15268
marginal,Link,residential rural air heat pump,-282199.11166
marginal,Link,residential rural ground heat pump,-5210034.72201
marginal,Link,residential urban decentral air heat pump,-7510171.2427
marginal,Link,services rural air heat pump,-243052.45546
marginal,Link,services rural ground heat pump,-3968497.57796
marginal,Link,services urban decentral air heat pump,-2862563.76977
marginal,Link,shipping methanol,5142139.96127
marginal,Link,solid biomass for industry,0.08429
marginal,Link,solid biomass for industry CC,7743861.84296
marginal,Link,urban central air heat pump,-16701301.08373
marginal,Link,waste CHP,13844.22423
marginal,Link,waste CHP CC,3176698991.55944
marginal,StorageUnit,PHS,1010292.0214
marginal,StorageUnit,hydro,3439059.00201
marginal,Store,H2 Store,-0.0
marginal,Store,battery,-0.0
marginal,Store,co2,-0.00735
marginal,Store,co2 sequestered,13083349.63537
marginal,Store,co2 stored,-0.0
marginal,Store,gas,-0.0
marginal,Store,home battery,0.0
marginal,Store,methanol,0.0
marginal,Store,non-sequestered HVC,1290183.1655
marginal,Store,oil,0.0
