cost,component,location,carrier,0
capital,Generator,DK0 0,residential rural solar thermal,197364.92699
capital,Generator,DK0 0,residential urban decentral solar thermal,236647.37521
capital,Generator,DK0 0,services rural solar thermal,183977.08509
capital,Generator,DK0 0,services urban decentral solar thermal,204439.31581
capital,Generator,DK0 0,solar,48071745.63899
capital,Generator,DK0 0,solar rooftop,438413.50806
capital,Generator,DK0 0,solar-hsat,871165.69334
capital,Generator,DK0 0,urban central solar thermal,237569.96152
capital,Generator,DK1 0,load,0.0
capital,Generator,DK1 0,offwind-ac,1713328887.20217
capital,Generator,DK1 0,offwind-dc,663825824.6589
capital,Generator,DK1 0,onwind,1509400237.51779
capital,Generator,DK1 0,residential rural solar thermal,200221.76916
capital,Generator,DK1 0,residential urban decentral solar thermal,239138.54278
capital,Generator,DK1 0,services rural solar thermal,189893.3386
capital,Generator,DK1 0,services urban decentral solar thermal,209371.1238
capital,Generator,DK1 0,solar,16117278.26054
capital,Generator,DK1 0,solar rooftop,858081.29247
capital,Generator,DK1 0,solar-hsat,1347029.31824
capital,Generator,DK1 0,urban central solar thermal,243729.70489
capital,Generator,EE0 0,load,0.0
capital,Generator,EE0 0,offwind-ac,3571242.64247
capital,Generator,EE0 0,offwind-dc,2601969.55508
capital,Generator,EE0 0,onwind,1641280772.83499
capital,Generator,EE0 0,residential rural solar thermal,197988.84292
capital,Generator,EE0 0,residential urban decentral solar thermal,204313.64724
capital,Generator,EE0 0,services rural solar thermal,187854.83061
capital,Generator,EE0 0,services urban decentral solar thermal,190626.77317
capital,Generator,EE0 0,solar,12954479.33023
capital,Generator,EE0 0,solar rooftop,796652.74315
capital,Generator,EE0 0,solar-hsat,1299467.53648
capital,Generator,EE0 0,urban central solar thermal,204604.36093
capital,Generator,ES0 0,load,0.0
capital,Generator,ES0 0,nuclear,3543142727.39701
capital,Generator,ES0 0,offwind-ac,3802935.2163
capital,Generator,ES0 0,offwind-dc,2248905.35171
capital,Generator,ES0 0,onwind,3881311317.03497
capital,Generator,ES0 0,residential rural solar thermal,558868.93588
capital,Generator,ES0 0,residential urban decentral solar thermal,648584.52253
capital,Generator,ES0 0,ror,40062148.34745
capital,Generator,ES0 0,services rural solar thermal,498896.28523
capital,Generator,ES0 0,services urban decentral solar thermal,590405.60685
capital,Generator,ES0 0,solar,27253542877.42871
capital,Generator,ES0 0,solar rooftop,2654419075.09444
capital,Generator,ES0 0,solar-hsat,3180414.71227
capital,Generator,ES0 0,urban central solar thermal,663573.49267
capital,Generator,ES6 0,load,0.0
capital,Generator,ES6 0,nuclear,2286123227.4459
capital,Generator,ES6 0,offwind-ac,724933.0659
capital,Generator,ES6 0,offwind-dc,1015247.67084
capital,Generator,ES6 0,onwind,269656976.9989
capital,Generator,ES6 0,residential rural solar thermal,304114.05006
capital,Generator,ES6 0,residential urban decentral solar thermal,326869.82412
capital,Generator,ES6 0,ror,45303586.30495
capital,Generator,ES6 0,services rural solar thermal,295257.23731
capital,Generator,ES6 0,services urban decentral solar thermal,316119.22557
capital,Generator,ES6 0,solar,7952755.29245
capital,Generator,ES6 0,solar rooftop,585580.85372
