carrier,0
AC,51.84913471445325
EV battery,65.92536270793246
H2,80.49768481628205
battery,51.63220690326756
biogas,0.0
co2,0.00932707649681629
co2 sequestered,-6.480372417960155
co2 stored,107.70795041641756
coal,100000.00617562087
coal for industry,100000.01056624998
gas,100000.00718478422
gas for industry,100000.00927813299
home battery,59.142133245008594
industry methanol,107.48656194448857
land transport oil,120.61060283248945
low voltage,59.367785514015054
methanol,107.4779879206537
naphtha for industry,118.10235338021309
non-sequestered HVC,23.853885028635233
none,0.0
oil,120.60344121981561
process emissions,78.51722702768889
residential rural heat,32.92527759244356
residential urban decentral heat,39.78701034854741
services rural heat,32.593146466633755
services urban decentral heat,40.57373574184545
solid biomass,13.658501778555467
solid biomass for industry,-16.804455932107913
urban central heat,-8.8536428714247
