carrier,0
H2 Electrolysis,-inf
H2 pipeline,-inf
battery charger,-inf
methanolisation,-inf
electricity distribution grid,-6633.796421718232
AC,10.663017660931489
DC,13.74644955932082
solar,25.824022901281875
solar-hsat,29.566997320303336
battery discharger,31.704230052558653
onwind,38.09166679357088
offwind-ac,45.4198448049175
ror,46.6583572451109
load,51.45376712328767
CCGT,52.10126582278481
offwind-dc,52.32783250043352
PHS,109.4480247431325
hydro,111.99649447869376
nuclear,114.95918183795851
waste CHP CC,121.00704976442184
waste CHP,372.9168752531922
