component,carrier,bus_carrier,0
Link,SMR CC,gas,-91772050.57733
Link,services rural ground heat pump,low voltage,-114322180.01208
Link,waste CHP CC,non-sequestered HVC,-115139943.76678
Link,methanolisation,co2 stored,-126908940.79542
Link,services urban decentral air heat pump,low voltage,-128726457.24958
Link,Fischer-Tropsch,co2 stored,-130781540.84978
Link,CCGT,gas,-133209339.93702
Link,process emissions CC,process emissions,-133885482.04927
Link,methanolisation,AC,-138648370.27697
Link,residential rural ground heat pump,low voltage,-152907955.54748
Load,H2 for industry,H2,-179660000.0
Load,services rural heat,services rural heat,-204568447.88144
Load,agriculture heat,services rural heat,-214811742.63032
Link,electrobiofuels,solid biomass,-217727747.34252
Link,electrobiofuels,H2,-222964896.14916
Load,gas for industry,gas for industry,-231370000.0
Link,co2 sequestered,co2 stored,-249995448.82883
Store,co2 sequestered,co2 sequestered,-249995467.00877
Link,gas for industry CC,gas,-257022347.99957
Link,naphtha for industry,oil,-276859994.74228
Load,naphtha for industry,naphtha for industry,-276860000.0
Link,oil refining,oil primary,-288905881.1424
Link,solid biomass for industry CC,co2,-289607852.236
Load,services urban decentral heat,services urban decentral heat,-290777053.14145
Link,residential urban decentral air heat pump,low voltage,-331580974.97665
Link,shipping methanol,methanol,-502969701.99818
Load,shipping methanol,shipping methanol,-502969704.58576
Link,urban central air heat pump,low voltage,-542496378.14011
Load,residential rural heat,residential rural heat,-547909224.68024
Link,methanolisation,H2,-582348401.25324
Link,Fischer-Tropsch,H2,-636645383.01124
Link,kerosene for aviation,oil,-743906974.65427
Load,kerosene for aviation,kerosene for aviation,-743906976.62383
Load,solid biomass for industry,solid biomass for industry,-748220000.0
Load,residential urban decentral heat,residential urban decentral heat,-750011223.64407
Link,solid biomass for industry CC,solid biomass,-831334526.24691
Link,battery discharger,battery,-951434292.71423
Link,battery charger,AC,-971052989.93316
Load,land transport EV,EV battery,-980491450.39726
Link,BEV charger,low voltage,-1089434327.57931
Load,electricity,low voltage,-1574967174.57493
Load,industry electricity,low voltage,-1769410000.0
Load,urban central heat,urban central heat,-1795359777.45503
Link,H2 Electrolysis,AC,-2219673263.04593
Link,electricity distribution grid,AC,-5515576478.60137
