cost,component,carrier,0
capital,Generator,biogas,0.0
capital,Generator,gas,0.0
capital,Generator,load,0.0
capital,Generator,nuclear,116394961968.87299
capital,Generator,offwind-ac,38186018184.62308
capital,Generator,offwind-dc,40167345472.9207
capital,Generator,oil primary,0.0
capital,Generator,onwind,65869919732.12189
capital,Generator,residential rural solar thermal,43913252.99025
capital,Generator,residential urban decentral solar thermal,42301322.36341
capital,Generator,ror,15121742314.61956
capital,Generator,services rural solar thermal,36680579.69656
capital,Generator,services urban decentral solar thermal,34832294.68144
capital,Generator,solar,78595680677.48016
capital,Generator,solar rooftop,12901444968.57938
capital,Generator,solar-hsat,702207688.05668
capital,Generator,solid biomass,0.0
capital,Generator,urban central solar thermal,54711484.57697
capital,Line,AC,7431592436.92273
capital,Link,BEV charger,0.0
capital,Link,CCGT,17840407311.32514
capital,Link,DC,16193995951.51012
capital,Link,Fischer-Tropsch,4287197033.35253
capital,Link,H2 Electrolysis,40787408527.78401
capital,Link,H2 pipeline,1190949065.96939
capital,Link,HVC to air,0.0
capital,Link,SMR,1503795356.00945
capital,Link,SMR CC,4387765557.93511
capital,Link,Sabatier,31146040.1639
capital,Link,agriculture machinery oil,0.0
capital,Link,battery charger,2898777737.78147
capital,Link,battery discharger,0.0
capital,Link,biogas to gas,1520803768.05429
capital,Link,biomass to liquid,1089753.40659
capital,Link,co2 sequestered,0.0
capital,Link,electricity distribution grid,49958576426.3446
capital,Link,electrobiofuels,4293584479.92668
capital,Link,gas for industry,0.0
capital,Link,gas for industry CC,1211951061.03301
capital,Link,home battery charger,110074164.50223
capital,Link,home battery discharger,0.0
capital,Link,industry methanol,0.0
capital,Link,kerosene for aviation,0.0
capital,Link,methanolisation,5038450485.94667
capital,Link,naphtha for industry,0.0
capital,Link,oil refining,0.0
capital,Link,process emissions,0.0
capital,Link,process emissions CC,3186965964.93986
capital,Link,residential rural air heat pump,6081569050.66524
capital,Link,residential rural ground heat pump,18215184914.452
capital,Link,residential urban decentral air heat pump,26265030248.13168
capital,Link,services rural air heat pump,2374110439.66698
capital,Link,services rural ground heat pump,10078814331.4856
capital,Link,services urban decentral air heat pump,10512957605.35958
capital,Link,shipping methanol,0.0
capital,Link,solid biomass for industry,0.0
capital,Link,solid biomass for industry CC,7255330707.10019
capital,Link,urban central air heat pump,49335018502.74776
capital,Link,waste CHP,250060681.35978
capital,Link,waste CHP CC,6937573715.7824
capital,StorageUnit,PHS,10238012412.75842
capital,StorageUnit,hydro,19440523664.00005
capital,Store,EV battery,0.0
capital,Store,H2 Store,1397442862.47776
capital,Store,battery,19736638751.58492
capital,Store,co2,0.0
capital,Store,co2 sequestered,7499866400.19093
capital,Store,co2 stored,1723228.3801
capital,Store,gas,1459323.47158
capital,Store,home battery,281346971.42393
capital,Store,methanol,434109599.05508
capital,Store,non-sequestered HVC,0.0
capital,Store,oil,1192321.68971
marginal,Generator,biogas,4556337651.56898
marginal,Generator,gas,10280443999.83953
marginal,Generator,load,514742958.41782
marginal,Generator,nuclear,10490458552.0454
marginal,Generator,offwind-ac,22663449.22774
marginal,Generator,offwind-dc,20957275.4332
marginal,Generator,oil primary,15288938003.8414
marginal,Generator,onwind,47186577.23206
marginal,Generator,residential rural solar thermal,3719.85545
marginal,Generator,residential urban decentral solar thermal,3656.69356
marginal,Generator,ror,1612555.5907
marginal,Generator,services rural solar thermal,3029.92531
marginal,Generator,services urban decentral solar thermal,2572.86292
marginal,Generator,solar,64328395.91668
marginal,Generator,solar rooftop,8725207.03631
marginal,Generator,solar-hsat,411752.20527
marginal,Generator,solid biomass,14330134337.32931
marginal,Generator,urban central solar thermal,7454.60148
marginal,Link,BEV charger,10709215.40171
marginal,Link,CCGT,339654121.67629
marginal,Link,DC,17461455.15043
marginal,Link,Fischer-Tropsch,1142154921.63697
marginal,Link,H2 Electrolysis,21315313.40712
marginal,Link,H2 pipeline,6758500.33624
marginal,Link,HVC to air,306.17529
marginal,Link,SMR,116219.83242
marginal,Link,SMR CC,909897.38463
marginal,Link,Sabatier,28804.15216
marginal,Link,agriculture machinery oil,498866.42049
marginal,Link,battery charger,9405587.39935
marginal,Link,battery discharger,9894939.04873
marginal,Link,biogas to gas,197700550.95487
marginal,Link,biomass to liquid,6377.00157
marginal,Link,co2 sequestered,2421337.83639
marginal,Link,electricity distribution grid,56432450.58077
marginal,Link,electrobiofuels,378871523.85146
marginal,Link,gas for industry,464.77764
marginal,Link,gas for industry CC,2529060.41083
marginal,Link,home battery charger,212375.14632
marginal,Link,home battery discharger,208453.29511
marginal,Link,industry methanol,82964.18976
marginal,Link,kerosene for aviation,7067048.27307
marginal,Link,methanolisation,5896600.58955
marginal,Link,naphtha for industry,2820908.27941
marginal,Link,oil refining,3037013.30811
marginal,Link,process emissions,44.92358
marginal,Link,process emissions CC,1471134.89215
marginal,Link,residential rural air heat pump,-405656.14581
marginal,Link,residential rural ground heat pump,-5086906.92723
marginal,Link,residential urban decentral air heat pump,-7467760.17175
marginal,Link,services rural air heat pump,-287484.89127
marginal,Link,services rural ground heat pump,-3784965.54425
marginal,Link,services urban decentral air heat pump,-2884237.54358
marginal,Link,shipping methanol,4892785.59747
marginal,Link,solid biomass for industry,206.09986
marginal,Link,solid biomass for industry CC,8880587.86391
marginal,Link,urban central air heat pump,-16278690.4019
marginal,Link,waste CHP,63093522.50383
marginal,Link,waste CHP CC,3112807204.30198
marginal,StorageUnit,PHS,1043769.30431
marginal,StorageUnit,hydro,3408161.80155
marginal,Store,EV battery,-1.52643
marginal,Store,H2 Store,0.0
marginal,Store,battery,0.0
marginal,Store,co2,-0.29508
marginal,Store,co2 sequestered,22363820.45981
marginal,Store,co2 stored,-0.0
marginal,Store,gas,0.0
marginal,Store,home battery,0.0
marginal,Store,methanol,0.0
marginal,Store,non-sequestered HVC,1267300.64504
marginal,Store,oil,0.0
