country,p_nom_min,p_nom_max,p_nom_opt
AL,0.0,12357.51513162733,4675.3868076126
BA,0.0,31.42261124584909,0.20797120699189686
BE,2261.8,3133.027863876281,3132.9515711343856
BG,0.0,26778.35256394197,8.74904841815303
DE,9661.0,31939.74199853841,31939.623943769697
DK,2652.6,64923.717356785026,2656.187169593563
EE,0.0,24918.237251615006,3.2279098375572897
ES,20.0,554532.9737264627,28.258364416798077
FI,73.0,95467.86150681107,20461.981875539732
FR,2528.2,382189.5418072722,133705.90412539148
GB,23288.8,925963.5154108726,117233.33154760831
GR,0.0,625830.8028369108,2.849989493433056
HR,0.0,47574.87849203912,2.8014691652837955
IE,25.2,391136.7683036993,12674.795789706084
IT,30.0,648856.5836319977,1529.9734719330327
LT,0.0,4968.430364127851,1836.9393456081045
LV,0.0,23053.872093713395,316.9186320329763
ME,0.0,8561.887143084714,3.783524662137479
NL,5714.0,57308.833480758694,5722.588673873133
NO,138.0,1260226.5173030372,141.49025033804708
PL,1200.0,24329.842598233197,24329.687958673487
PT,25.0,269301.97790252505,27.77219407646801
RO,0.0,24246.726497032687,21912.224150120237
SE,203.0,146093.52346509765,211.3215000297798
SI,0.0,207.33758177765128,0.3326560207618541
