name,bus,control,type,p_nom,p_nom_mod,p_nom_extendable,p_nom_min,p_nom_max,p_nom_set,p_min_pu,p_max_pu,p_set,e_sum_min,e_sum_max,q_set,sign,carrier,marginal_cost,marginal_cost_quadratic,active,build_year,lifetime,capital_cost,efficiency,committable,start_up_cost,shut_down_cost,stand_by_cost,min_up_time,min_down_time,up_time_before,down_time_before,ramp_limit_up,ramp_limit_down,ramp_limit_start_up,ramp_limit_shut_down,weight,p_nom_opt
BE0 0 nuclear,BE0 0,Slack,,5931.0,0.0,True,5931.0,inf,,0.0,0.883,,-inf,inf,0.0,1.0,nuclear,14.022839215801671,0.0,True,0,inf,753784.2152972105,0.32600000000000007,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,5931.394781306948
BG0 0 nuclear,BG0 0,PQ,,2080.0,0.0,True,2080.0,inf,,0.0,0.876,,-inf,inf,0.0,1.0,nuclear,14.024149757289438,0.0,True,0,inf,753784.2152972104,0.326,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,2080.001300505414
CH0 0 nuclear,CH0 0,PQ,,3355.0,0.0,True,3355.0,inf,,0.0,0.834,,-inf,inf,0.0,1.0,nuclear,14.02317621794623,0.0,True,0,inf,753784.2152972104,0.32600000000000007,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,3355.079892756535
CZ0 0 nuclear,CZ0 0,PQ,,4164.0,0.0,True,4164.0,inf,,0.0,0.839,,-inf,inf,0.0,1.0,nuclear,14.02351485514709,0.0,True,0,inf,753784.2152972105,0.32600000000000007,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,4164.176062619129
DE0 0 nuclear,DE0 0,PQ,,15272.0,0.0,True,15272.0,inf,,0.0,0.926,,-inf,inf,0.0,1.0,nuclear,13.96566768374361,0.0,True,0,inf,753784.2152972103,0.32778575170246205,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,15273.555160874079
DE0 1 nuclear,DE0 1,PQ,,7821.0,0.0,True,7821.0,inf,,0.0,0.926,,-inf,inf,0.0,1.0,nuclear,13.979540627948802,0.0,True,0,inf,753784.2152972105,0.3273798746963304,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,7821.431364053743
ES0 0 nuclear,ES0 0,PQ,,4700.4,0.0,True,4700.4,inf,,0.0,0.883,,-inf,inf,0.0,1.0,nuclear,14.023649451384518,0.0,True,0,inf,753784.2152972104,0.32600000000000007,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,4700.528812700992
ES6 0 nuclear,ES6 0,PQ,,3032.8,0.0,True,3032.8,inf,,0.0,0.883,,-inf,inf,0.0,1.0,nuclear,14.022388929209836,0.0,True,0,inf,753784.2152972103,0.326,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,3032.889104272457
FI1 0 nuclear,FI1 0,Slack,,4362.0,0.0,True,4362.0,inf,,0.0,0.924,,-inf,inf,0.0,1.0,nuclear,14.02250173471026,0.0,True,0,inf,753784.2152972104,0.326,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,4362.0700516091665
FR0 0 nuclear,FR0 0,PQ,,64682.0,0.0,True,64682.0,inf,,0.0,0.616,,-inf,inf,0.0,1.0,nuclear,14.023007904238272,0.0,True,0,inf,753784.2152972103,0.326,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,64691.888627936816
