Mineral,Supply,"Non-energy demand (global, kt)",Supply year,Supply source,Non-energy demand year,Non-energy demand source
Copper,,21598,,,,IEA CM explorer (net zero scenario)
Cobalt,,212,,,,IEA CM explorer (net zero scenario)
Lithium,,150,,,,IEA CM explorer (net zero scenario)
Nickel,,3115,,,,IEA CM explorer (net zero scenario)
REE,,120,,,,IEA CM explorer (net zero scenario)
Graphite (natural and synthetic),,8489,,,,IEA CM explorer (net zero scenario)
Dysprosium,,,,,,
