carrier_adj,offwind
,
Row Labels,Sum of p_nom_opt
AL,5603.482342
BA,1.351257299
BE,3133.011924
BG,2677.144152
DE,16500.84146
DK,15395.4012
EE,43.33269733
ES,145.6431624
FI,38929.26845
FR,220363.6829
GB,117375.7385
GR,73.26497866
HR,73.45790001
IE,68666.84583
IT,87845.17901
LT,3085.849686
LV,212.0554049
ME,1053.016232
NL,5747.797464
NO,14534.99352
PL,24328.28926
PT,545.8945883
RO,24078.60758
SE,55976.92384
SI,1.592604685
Grand Total,706392.6659
