,0
AC,42.85442366986472
EV battery,61.36278374730794
H2,70.28728950477227
agriculture machinery oil,121.70142271298853
battery,22.66405818130977
co2,-243.51210552125693
co2 sequestered,-147.40073488454934
co2 stored,-147.40860421566148
coal,9.562355612431796
coal for industry,91.41722681731008
gas,24.577830917815504
gas for industry,66.04279264517531
home battery,26.34619237916289
industry methanol,110.3929669536875
kerosene for aviation,121.70120339703762
land transport oil,121.70240254773323
low voltage,68.56524701268224
methanol,49.639882251646455
naphtha for industry,64.72188432802572
non-sequestered HVC,-53.04412818488806
oil,59.08466133197479
oil primary,52.9217179279167
process emissions,-176.01921336674644
residential rural heat,74.5233491177153
residential urban decentral heat,82.97595631414931
services rural heat,52.77762616191727
services urban decentral heat,83.98929011693001
shipping methanol,110.3935808134034
shipping oil,121.70201465562121
solid biomass,13.659328268148322
solid biomass for industry,-12.31570151449869
urban central heat,55.0340619310816
