carrier,0
H2 Electrolysis,-inf
H2 pipeline,-inf
battery charger,-inf
methanolisation,-inf
electricity distribution grid,-2566.002590399401
AC,13.055325053494135
DC,13.585673164428908
solar-hsat,21.771328632941152
solar,25.464619461880215
onwind,37.680573431398464
offwind-ac,45.8668579319108
battery discharger,48.51962807299663
offwind-dc,51.24380358032578
ror,52.1650534321091
CCGT,58.75010769532014
load,58.839662042148724
waste CHP,61.940456500165396
nuclear,82.73770550309516
PHS,82.97035094877272
hydro,118.56608391130398
waste CHP CC,507.30155321620043
