component,carrier,bus_carrier,0
Load,gas for industry,gas for industry,-231370000.0
Link,gas for industry CC,gas,-257069783.91125
Link,naphtha for industry,oil,-276859916.80207
Load,naphtha for industry,naphtha for industry,-276860000.0
Link,solid biomass for industry CC,co2,-289615159.65899
Load,services urban decentral heat,services urban decentral heat,-290777053.14145
Link,residential urban decentral air heat pump,low voltage,-331623619.5135
Link,shipping methanol,methanol,-502967981.52451
Load,shipping methanol,shipping methanol,-502969704.58577
Link,urban central air heat pump,low voltage,-531568609.80496
Load,residential rural heat,residential rural heat,-547909224.68024
Link,kerosene for aviation,oil,-555405467.80852
Link,methanolisation,H2,-582345045.5563
Load,kerosene for aviation,kerosene for aviation,-743906976.62384
Load,solid biomass for industry,solid biomass for industry,-748220000.0
Load,residential urban decentral heat,residential urban decentral heat,-750011223.64407
Link,battery discharger,battery,-796964463.85902
Link,battery charger,AC,-813396577.35232
Link,solid biomass for industry CC,solid biomass,-831355502.58779
Load,land transport EV,EV battery,-980491450.39726
Link,Fischer-Tropsch,H2,-1078870303.82005
Link,BEV charger,low voltage,-1089432704.56601
Load,electricity,low voltage,-1574967174.57493
Load,industry electricity,low voltage,-1769410000.0
Load,urban central heat,urban central heat,-1795359777.45503
Link,H2 Electrolysis,AC,-2632076689.61436
Link,electricity distribution grid,AC,-5578284102.72472
