cost,component,location,carrier,0
capital,Generator,DK0 0,offwind-dc,38211536.58729
capital,Generator,DK0 0,onwind,6010190330.70727
capital,Generator,DK0 0,residential rural solar thermal,1403751.57872
capital,Generator,DK0 0,residential urban decentral solar thermal,1752122.35308
capital,Generator,DK0 0,services rural solar thermal,1522018.20794
capital,Generator,DK0 0,services urban decentral solar thermal,1473105.2047
capital,Generator,DK0 0,solar,48148414.06909
capital,Generator,DK0 0,solar rooftop,4726167.87616
capital,Generator,DK0 0,solar-hsat,9410470.93909
capital,Generator,DK0 0,urban central solar thermal,1761635.73306
capital,Generator,DK1 0,load,0.0
capital,Generator,DK1 0,offwind-ac,2115637023.35187
capital,Generator,DK1 0,offwind-dc,663495012.37708
capital,Generator,DK1 0,onwind,1509317002.42841
capital,Generator,DK1 0,residential rural solar thermal,1301324.31079
capital,Generator,DK1 0,residential urban decentral solar thermal,1568338.58592
capital,Generator,DK1 0,services rural solar thermal,1416203.9202
capital,Generator,DK1 0,services urban decentral solar thermal,1351376.80603
capital,Generator,DK1 0,solar,529722431.78531
capital,Generator,DK1 0,solar rooftop,14585620.39863
capital,Generator,DK1 0,solar-hsat,21128656.56726
capital,Generator,DK1 0,urban central solar thermal,1633824.98581
capital,Generator,EE0 0,load,0.0
capital,Generator,EE0 0,offwind-ac,32273545.77616
capital,Generator,EE0 0,offwind-dc,23597235.03324
capital,Generator,EE0 0,onwind,1356348241.14723
capital,Generator,EE0 0,residential rural solar thermal,1343626.55053
capital,Generator,EE0 0,residential urban decentral solar thermal,1389218.95727
capital,Generator,EE0 0,services rural solar thermal,1345692.23695
capital,Generator,EE0 0,services urban decentral solar thermal,1280454.93242
capital,Generator,EE0 0,solar,68241501.68904
capital,Generator,EE0 0,solar rooftop,17124102.38851
capital,Generator,EE0 0,solar-hsat,19955327.35289
capital,Generator,EE0 0,urban central solar thermal,1376713.57827
capital,Generator,ES0 0,load,0.0
capital,Generator,ES0 0,nuclear,3543317976.97489
capital,Generator,ES0 0,offwind-ac,24922717.52843
capital,Generator,ES0 0,offwind-dc,267092423.06169
capital,Generator,ES0 0,onwind,10816436511.96293
capital,Generator,ES0 0,residential rural solar thermal,2627270.63154
capital,Generator,ES0 0,residential urban decentral solar thermal,2937668.57086
capital,Generator,ES0 0,ror,40062148.34745
capital,Generator,ES0 0,services rural solar thermal,2915983.19507
capital,Generator,ES0 0,services urban decentral solar thermal,2635467.66071
capital,Generator,ES0 0,solar,8876321275.82317
capital,Generator,ES0 0,solar rooftop,2911787874.95406
capital,Generator,ES0 0,solar-hsat,2731844906.85272
capital,Generator,ES0 0,urban central solar thermal,3016664.39852
capital,Generator,ES6 0,load,0.0
capital,Generator,ES6 0,nuclear,2286276419.14883
capital,Generator,ES6 0,offwind-ac,9628984.96353
capital,Generator,ES6 0,offwind-dc,22032766.21678
capital,Generator,ES6 0,onwind,298097425.01231
capital,Generator,ES6 0,residential rural solar thermal,1748743.89144
capital,Generator,ES6 0,residential urban decentral solar thermal,1956419.69732
capital,Generator,ES6 0,ror,45303586.30495
capital,Generator,ES6 0,services rural solar thermal,2064725.19223
capital,Generator,ES6 0,services urban decentral solar thermal,1847299.58779
capital,Generator,ES6 0,solar,25996227.07271
capital,Generator,ES6 0,solar rooftop,48336438.40308
capital,Generator,ES6 0,solar-hsat,19439869.56111
capital,Generator,ES6 0,urban central solar thermal,1768723.16902
capital,Generator,EU,biogas,0.0
capital,Generator,EU,gas,0.0
capital,Generator,EU,load,0.0
capital,Generator,EU,oil primary,0.0
capital,Generator,EU,solid biomass,0.0
capital,Generator,FI1 0,load,0.0
capital,Generator,FI1 0,nuclear,3288328408.68033
capital,Generator,FI1 0,offwind-ac,52676248.63313
capital,Generator,FI1 0,offwind-dc,8126237048.62816
capital,Generator,FI1 0,onwind,891362955.56736
capital,Generator,FI1 0,residential rural solar thermal,1231150.61459
capital,Generator,FI1 0,residential urban decentral solar thermal,1464901.23123
capital,Generator,FI1 0,ror,453195348.92122
capital,Generator,FI1 0,services rural solar thermal,1340328.37625
capital,Generator,FI1 0,services urban decentral solar thermal,1268545.85765
capital,Generator,FI1 0,solar,15794525.16997
capital,Generator,FI1 0,solar rooftop,7893682.39425
capital,Generator,FI1 0,solar-hsat,12050497.57976
capital,Generator,FI1 0,urban central solar thermal,1603487.2207
capital,Generator,FR0 0,load,0.0
capital,Generator,FR0 0,nuclear,48811590653.26656
capital,Generator,FR0 0,offwind-ac,467769394.92297
capital,Generator,FR0 0,offwind-dc,48970676569.54492
capital,Generator,FR0 0,onwind,2217234999.5966
capital,Generator,FR0 0,residential rural solar thermal,2905560.15381
capital,Generator,FR0 0,residential urban decentral solar thermal,3265711.26011
capital,Generator,FR0 0,ror,2104829751.47617
capital,Generator,FR0 0,services rural solar thermal,3150294.8102
capital,Generator,FR0 0,services urban decentral solar thermal,2950195.97833
capital,Generator,FR0 0,solar,4952061901.56906
capital,Generator,FR0 0,solar rooftop,521147549.41234
capital,Generator,FR0 0,solar-hsat,57937930.33188
capital,Generator,FR0 0,urban central solar thermal,3489671.838
capital,Generator,FR5 0,load,0.0
capital,Generator,FR5 0,offwind-ac,11484898.62571
capital,Generator,FR5 0,offwind-dc,18415188.28598
capital,Generator,FR5 0,onwind,16155715.19962
capital,Generator,FR5 0,residential rural solar thermal,1806804.81309
capital,Generator,FR5 0,residential urban decentral solar thermal,0.0
capital,Generator,FR5 0,ror,45627745.23532
capital,Generator,FR5 0,services rural solar thermal,1793307.49793
capital,Generator,FR5 0,services urban decentral solar thermal,1437066.28408
capital,Generator,FR5 0,solar,304677022.63096
capital,Generator,FR5 0,solar rooftop,18391930.65011
capital,Generator,FR5 0,solar-hsat,16553015.99941
capital,Generator,GB2 0,load,0.0
capital,Generator,GB2 0,nuclear,12019417051.00341
capital,Generator,GB2 0,offwind-ac,21549638520.75557
capital,Generator,GB2 0,offwind-dc,113568678.60818
capital,Generator,GB2 0,onwind,25403738612.12542
capital,Generator,GB2 0,residential rural solar thermal,2232822.84955
capital,Generator,GB2 0,residential urban decentral solar thermal,2571720.19147
capital,Generator,GB2 0,ror,678984076.15559
capital,Generator,GB2 0,services rural solar thermal,1984674.64777
capital,Generator,GB2 0,services urban decentral solar thermal,2269731.25122
capital,Generator,GB2 0,solar,387343899.63061
capital,Generator,GB2 0,solar rooftop,13784885.86665
capital,Generator,GB2 0,solar-hsat,23716771.10073
capital,Generator,GB2 0,urban central solar thermal,2511381.54112
capital,Generator,GB3 0,load,0.0
capital,Generator,GB3 0,nuclear,2441740762.59712
capital,Generator,GB3 0,offwind-ac,1094657225.46134
capital,Generator,GB3 0,offwind-dc,220692565.85502
capital,Generator,GB3 0,onwind,1001024350.02235
capital,Generator,GB3 0,residential rural solar thermal,1293331.82741
capital,Generator,GB3 0,residential urban decentral solar thermal,1163819.51726
capital,Generator,GB3 0,ror,441577325.90046
capital,Generator,GB3 0,services rural solar thermal,1164427.44062
capital,Generator,GB3 0,services urban decentral solar thermal,1089187.55441
capital,Generator,GB3 0,solar,10423431.19615
capital,Generator,GB3 0,solar rooftop,3566025.75455
capital,Generator,GB3 0,solar-hsat,5760689.84344
capital,Generator,GB3 0,urban central solar thermal,1081203.2325
capital,Generator,GR0 0,load,0.0
capital,Generator,GR0 0,offwind-ac,35383781.62921
capital,Generator,GR0 0,offwind-dc,88517460.05064
capital,Generator,GR0 0,onwind,1507511139.61763
capital,Generator,GR0 0,residential rural solar thermal,2141218.34078
capital,Generator,GR0 0,residential urban decentral solar thermal,2407758.52221
capital,Generator,GR0 0,ror,31772365.34325
capital,Generator,GR0 0,services rural solar thermal,2279759.09318
capital,Generator,GR0 0,services urban decentral solar thermal,2232245.11975
capital,Generator,GR0 0,solar,4038865029.22478
capital,Generator,GR0 0,solar rooftop,566038224.62343
capital,Generator,GR0 0,solar-hsat,46654313.39925
capital,Generator,GR0 0,urban central solar thermal,2525509.30909
capital,Generator,HR0 0,load,0.0
capital,Generator,HR0 0,offwind-ac,24102148.83743
capital,Generator,HR0 0,offwind-dc,44052029.54906
capital,Generator,HR0 0,onwind,107371214.46893
capital,Generator,HR0 0,residential rural solar thermal,1926594.32022
capital,Generator,HR0 0,residential urban decentral solar thermal,1902474.08214
capital,Generator,HR0 0,ror,85877138.08148
capital,Generator,HR0 0,services rural solar thermal,1855874.43817
