component,carrier,bus_carrier,0
Load,low-temperature heat for industry,urban central heat,-95160000.0
Link,coal for industry,coal,-106061899.0208
Load,coal for industry,coal for industry,-106061920.0
Link,SMR CC,gas,-114851037.29953
Link,services rural ground heat pump,low voltage,-117448686.49451
Link,CCGT,gas,-138259015.94113
Load,H2 for industry,H2,-140180000.0
Link,residential rural ground heat pump,low voltage,-157740625.84617
Link,process emissions CC,process emissions,-168709319.02688
Link,co2 sequestered,co2 stored,-179986203.40877
Store,co2 sequestered,co2 sequestered,-179986205.1355
Link,services urban decentral air heat pump,low voltage,-199222789.64183
Load,services rural heat,services rural heat,-204568447.88144
Load,agriculture heat,services rural heat,-214811742.63032
Link,waste CHP CC,non-sequestered HVC,-216536321.0326
Link,solid biomass for industry CC,co2,-242840655.13958
Link,shipping oil,oil,-260286821.53931
Load,shipping oil,shipping oil,-260286822.12313
Link,shipping methanol,methanol,-276633335.84055
Load,shipping methanol,shipping methanol,-276633337.52217
Link,urban central air heat pump,low voltage,-323008727.89633
Link,methanolisation,H2,-324767645.86545
Link,Fischer-Tropsch,co2 stored,-329711396.68156
Load,services urban decentral heat,services urban decentral heat,-452252347.74388
Store,co2,co2,-460391734.4948
Link,naphtha for industry,oil,-504799998.61778
Load,naphtha for industry,naphtha for industry,-504800000.0
Link,residential urban decentral air heat pump,low voltage,-507699755.2197
Load,gas for industry,gas for industry,-510950000.0
Load,residential rural heat,residential rural heat,-547909224.68024
Link,gas for industry CC,gas,-567717482.67891
Load,solid biomass for industry,solid biomass for industry,-627380000.0
Load,land transport EV,EV battery,-686344015.27808
Link,solid biomass for industry CC,solid biomass,-697086834.61192
Link,kerosene for aviation,oil,-743906974.94772
Load,kerosene for aviation,kerosene for aviation,-743906976.62384
Link,BEV charger,low voltage,-762604392.59748
Link,land transport oil,oil,-947303920.10051
Load,land transport oil,land transport oil,-947303921.78965
Load,urban central heat,urban central heat,-1147326184.40367
Load,residential urban decentral heat,residential urban decentral heat,-1152043401.26022
Link,oil refining,oil primary,-1290552263.60138
Load,industry electricity,low voltage,-1557980000.0
Load,electricity,low voltage,-1574967174.57493
Link,Fischer-Tropsch,H2,-1605037202.18905
Link,H2 Electrolysis,AC,-2765911976.70318
Link,electricity distribution grid,AC,-5111200082.98714
