carrier,0
H2 Electrolysis,-inf
H2 pipeline,-inf
battery charger,-inf
methanolisation,-inf
electricity distribution grid,-12450.7253968579
AC,6.49175574141007
DC,11.028992201806362
battery discharger,26.376475146362157
solar,26.64833734488539
solar-hsat,30.229024746766836
onwind,34.68578289767622
ror,42.45456354447496
offwind-ac,44.01736009315723
load,45.542016806722685
offwind-dc,46.97965768306729
nuclear,69.05376613484312
hydro,85.73046525299898
PHS,87.22449671953719
waste CHP CC,103.22822849798504
waste CHP,175.51440139070252
CCGT,369.41993323444075
