carrier,0
methanolisation,-inf
DAC,-inf
H2 Electrolysis,-inf
H2 pipeline,-inf
battery charger,-inf
electricity distribution grid,-12250.540036115017
AC,6.187059023486927
DC,11.688571003685052
solar,25.282979129633805
battery discharger,25.827792316192454
solar-hsat,28.811563688602014
onwind,35.46963852683201
ror,40.47153252076924
load,43.629729729729725
offwind-ac,44.06615871115584
offwind-dc,46.731419687340725
nuclear,68.33800814281169
PHS,73.30894095586156
waste CHP CC,80.88936656362895
hydro,80.96719736928205
waste CHP,116.18475699299428
CCGT,268.83940620301945
