component,carrier,location,bus_carrier,0
Generator,load,ES0 0,urban central heat,0.0
Generator,load,ES6 0,AC,0.0
Generator,load,ES6 0,EV battery,1.62033
Generator,load,ES6 0,H2,1.53633
Generator,load,ES6 0,battery,0.0
Generator,load,ES6 0,home battery,0.0
Generator,load,ES6 0,low voltage,0.0
Generator,load,ES6 0,residential rural heat,0.0
Generator,load,ES6 0,residential urban decentral heat,0.0
Generator,load,ES6 0,services rural heat,0.0
Generator,load,ES6 0,services urban decentral heat,0.0
Generator,load,ES6 0,urban central heat,0.0
Generator,load,EU,agriculture machinery oil,1.15451
Generator,load,EU,biogas,8.72309
Generator,load,EU,co2,0.0
Generator,load,EU,co2 sequestered,0.0
Generator,load,EU,co2 stored,0.0
Generator,load,EU,coal,0.0
Generator,load,EU,coal for industry,1.39532
Generator,load,EU,gas,0.0
Generator,load,EU,gas for industry,0.85477
Generator,load,EU,industry methanol,1.14863
Generator,load,EU,kerosene for aviation,1.15635
Generator,load,EU,land transport oil,1.15611
Generator,load,EU,methanol,1.65708
Generator,load,EU,naphtha for industry,-0.25936
Generator,load,EU,non-sequestered HVC,61.85165
Generator,load,EU,none,0.0
Generator,load,EU,oil,1.66948
Generator,load,EU,oil primary,0.0
Generator,load,EU,process emissions,1.62982
Generator,load,EU,shipping methanol,1.1572
Generator,load,EU,shipping oil,1.15784
Generator,load,EU,solid biomass,1.54556
Generator,load,EU,solid biomass for industry,1.62508
Generator,load,FI1 0,AC,0.0
Generator,load,FI1 0,EV battery,1.646
Generator,load,FI1 0,H2,1.5608
Generator,load,FI1 0,battery,0.0
Generator,load,FI1 0,home battery,0.0
Generator,load,FI1 0,low voltage,0.0
Generator,load,FI1 0,residential rural heat,0.0
Generator,load,FI1 0,residential urban decentral heat,0.0
Generator,load,FI1 0,services rural heat,0.0
Generator,load,FI1 0,services urban decentral heat,0.0
Generator,load,FI1 0,urban central heat,0.0
Generator,load,FR0 0,AC,0.0
Generator,load,FR0 0,EV battery,1.64602
Generator,load,FR0 0,H2,1.55911
Generator,load,FR0 0,battery,0.0
Generator,load,FR0 0,home battery,0.0
Generator,load,FR0 0,low voltage,0.0
Generator,load,FR0 0,residential rural heat,0.0
Generator,load,FR0 0,residential urban decentral heat,0.0
Generator,load,FR0 0,services rural heat,0.0
Generator,load,FR0 0,services urban decentral heat,0.0
Generator,load,FR0 0,urban central heat,0.0
Generator,load,FR5 0,AC,1.61003
Generator,load,FR5 0,EV battery,1.62884
Generator,load,FR5 0,H2,1.48463
Generator,load,FR5 0,battery,1.62949
Generator,load,FR5 0,home battery,1.63312
Generator,load,FR5 0,low voltage,1.63173
Generator,load,FR5 0,residential rural heat,0.0
Generator,load,FR5 0,residential urban decentral heat,0.0
Generator,load,FR5 0,services rural heat,0.0
Generator,load,FR5 0,services urban decentral heat,0.0
Generator,load,GB2 0,AC,0.0
Generator,load,GB2 0,EV battery,1.65112
Generator,load,GB2 0,H2,1.5602
Generator,load,GB2 0,battery,0.0
Generator,load,GB2 0,home battery,0.0
Generator,load,GB2 0,low voltage,0.0
Generator,load,GB2 0,residential rural heat,0.0
Generator,load,GB2 0,residential urban decentral heat,0.0
Generator,load,GB2 0,services rural heat,0.0
Generator,load,GB2 0,services urban decentral heat,0.0
Generator,load,GB2 0,urban central heat,0.0
Generator,load,GB3 0,AC,0.0
Generator,load,GB3 0,EV battery,1.63082
Generator,load,GB3 0,H2,1.55917
Generator,load,GB3 0,battery,0.0
Generator,load,GB3 0,home battery,0.0
Generator,load,GB3 0,low voltage,0.0
Generator,load,GB3 0,residential rural heat,0.0
Generator,load,GB3 0,residential urban decentral heat,0.0
Generator,load,GB3 0,services rural heat,0.0
Generator,load,GB3 0,services urban decentral heat,0.0
Generator,load,GB3 0,urban central heat,0.0
Generator,load,GR0 0,AC,1.61259
Generator,load,GR0 0,EV battery,1.66373
Generator,load,GR0 0,H2,1.56697
Generator,load,GR0 0,battery,1.61618
Generator,load,GR0 0,home battery,1.62072
Generator,load,GR0 0,low voltage,1.61271
Generator,load,GR0 0,residential rural heat,0.0
Generator,load,GR0 0,residential urban decentral heat,0.0
Generator,load,GR0 0,services rural heat,0.0
Generator,load,GR0 0,services urban decentral heat,0.0
Generator,load,GR0 0,urban central heat,0.0
Generator,load,HR0 0,AC,1.62595
Generator,load,HR0 0,EV battery,1.64382
Generator,load,HR0 0,H2,1.5665
Generator,load,HR0 0,battery,1.62802
Generator,load,HR0 0,home battery,1.63925
Generator,load,HR0 0,low voltage,1.62744
Generator,load,HR0 0,residential rural heat,0.0
Generator,load,HR0 0,residential urban decentral heat,0.0
Generator,load,HR0 0,services rural heat,0.0
Generator,load,HR0 0,services urban decentral heat,0.0
Generator,load,HR0 0,urban central heat,0.0
Generator,load,HU0 0,AC,0.0
Generator,load,HU0 0,EV battery,1.65193
Generator,load,HU0 0,H2,1.56562
Generator,load,HU0 0,battery,0.0
Generator,load,HU0 0,home battery,0.0
Generator,load,HU0 0,low voltage,0.0
Generator,load,HU0 0,residential rural heat,0.0
Generator,load,HU0 0,residential urban decentral heat,0.0
Generator,load,HU0 0,services rural heat,0.0
Generator,load,HU0 0,services urban decentral heat,0.0
Generator,load,HU0 0,urban central heat,0.0
Generator,load,IE3 0,AC,1.61156
Generator,load,IE3 0,EV battery,1.64975
Generator,load,IE3 0,H2,1.55874
Generator,load,IE3 0,battery,1.61435
Generator,load,IE3 0,home battery,1.627
Generator,load,IE3 0,low voltage,1.61678
Generator,load,IE3 0,residential rural heat,0.0
Generator,load,IE3 0,residential urban decentral heat,0.0
Generator,load,IE3 0,services rural heat,0.0
Generator,load,IE3 0,services urban decentral heat,0.0
Generator,load,IE3 0,urban central heat,0.0
Generator,load,IT0 0,AC,0.0
Generator,load,IT0 0,EV battery,1.64661
Generator,load,IT0 0,H2,1.56534
Generator,load,IT0 0,battery,0.0
Generator,load,IT0 0,home battery,0.0
Generator,load,IT0 0,low voltage,0.0
Generator,load,IT0 0,residential rural heat,0.0
Generator,load,IT0 0,residential urban decentral heat,0.0
Generator,load,IT0 0,services rural heat,0.0
Generator,load,IT0 0,services urban decentral heat,0.0
Generator,load,IT0 0,urban central heat,0.0
Generator,load,IT4 0,AC,1.62012
Generator,load,IT4 0,EV battery,1.63745
Generator,load,IT4 0,H2,1.56699
Generator,load,IT4 0,battery,1.62244
Generator,load,IT4 0,home battery,1.63526
Generator,load,IT4 0,low voltage,1.61902
Generator,load,IT4 0,residential rural heat,0.0
Generator,load,IT4 0,residential urban decentral heat,0.0
Generator,load,IT4 0,services rural heat,0.0
Generator,load,IT4 0,services urban decentral heat,0.0
Generator,load,IT4 0,urban central heat,0.0
Generator,load,LT0 0,AC,0.0
Generator,load,LT0 0,EV battery,1.63871
Generator,load,LT0 0,H2,1.56189
Generator,load,LT0 0,battery,0.0
Generator,load,LT0 0,home battery,0.0
Generator,load,LT0 0,low voltage,0.0
Generator,load,LT0 0,residential rural heat,0.0
Generator,load,LT0 0,residential urban decentral heat,0.0
Generator,load,LT0 0,services rural heat,0.0
Generator,load,LT0 0,services urban decentral heat,0.0
Generator,load,LT0 0,urban central heat,0.0
Generator,load,LU0 0,AC,1.63064
Generator,load,LU0 0,EV battery,1.63041
Generator,load,LU0 0,H2,1.56011
Generator,load,LU0 0,battery,1.63498
Generator,load,LU0 0,home battery,1.64874
Generator,load,LU0 0,low voltage,1.63832
Generator,load,LU0 0,residential rural heat,0.0
Generator,load,LU0 0,residential urban decentral heat,0.0
Generator,load,LU0 0,services rural heat,0.0
Generator,load,LU0 0,services urban decentral heat,0.0
Generator,load,LU0 0,urban central heat,0.0
Generator,load,LV0 0,AC,1.62122
Generator,load,LV0 0,EV battery,1.63527
Generator,load,LV0 0,H2,1.56179
Generator,load,LV0 0,battery,1.62357
Generator,load,LV0 0,home battery,1.63643
Generator,load,LV0 0,low voltage,1.62613
Generator,load,LV0 0,residential rural heat,0.0
Generator,load,LV0 0,residential urban decentral heat,0.0
Generator,load,LV0 0,services rural heat,0.0
Generator,load,LV0 0,services urban decentral heat,0.0
Generator,load,LV0 0,urban central heat,0.0
Generator,load,ME0 0,AC,1.61999
Generator,load,ME0 0,EV battery,1.62284
Generator,load,ME0 0,H2,1.56686
Generator,load,ME0 0,battery,1.62271
Generator,load,ME0 0,home battery,1.63526
Generator,load,ME0 0,low voltage,1.62431
Generator,load,ME0 0,residential rural heat,0.0
Generator,load,ME0 0,residential urban decentral heat,0.0
Generator,load,ME0 0,services rural heat,0.0
Generator,load,ME0 0,services urban decentral heat,0.0
Generator,load,ME0 0,urban central heat,0.0
Generator,load,MK0 0,AC,1.63463
Generator,load,MK0 0,EV battery,1.6375
Generator,load,MK0 0,H2,1.56719
Generator,load,MK0 0,battery,1.63776
Generator,load,MK0 0,home battery,1.64803
Generator,load,MK0 0,low voltage,1.63692
