component,carrier,bus_carrier,0
Link,DAC,AC,-21057540.9261
Load,agriculture machinery electric,low voltage,-22038779.72332
StorageUnit,PHS,AC,-23355414.96547
Link,V2G,EV battery,-25906091.24008
Load,agriculture electricity,low voltage,-37525883.79874
Link,DAC,co2,-38286438.04745
Link,gas for industry CC,gas,-40239486.32151
Link,DC,AC,-47322987.47188
Link,agriculture machinery oil,oil,-51423818.19989
Load,agriculture machinery oil,agriculture machinery oil,-51423819.35442
Link,DAC,urban central heat,-53467388.82167
Line,AC,AC,-63305494.73979
Link,methanolisation,co2 stored,-70775366.7345
Link,methanolisation,AC,-77322284.7184
Link,SMR,gas,-91366553.45299
Load,low-temperature heat for industry,urban central heat,-95160000.0
Link,coal for industry,coal,-106061918.60508
Load,coal for industry,coal for industry,-106061920.0
Link,services rural ground heat pump,low voltage,-117630710.25111
Link,electrobiofuels,co2,-120243348.26879
Load,H2 for industry,H2,-140180000.0
Link,residential rural ground heat pump,low voltage,-157582672.5402
Link,process emissions CC,process emissions,-168706645.24797
Store,co2 sequestered,co2 sequestered,-179999994.2822
Link,co2 sequestered,co2 stored,-179999994.2822
Link,services urban decentral air heat pump,low voltage,-199262168.47621
Link,Fischer-Tropsch,co2 stored,-199845565.76158
Load,services rural heat,services rural heat,-204568447.88144
Load,agriculture heat,services rural heat,-214811742.63032
Link,waste CHP,non-sequestered HVC,-219849905.19873
Link,CCGT,gas,-229373165.65537
Link,solid biomass for industry CC,co2,-242829328.23709
Link,shipping oil,oil,-260286820.96527
Load,shipping oil,shipping oil,-260286822.12313
Link,shipping methanol,methanol,-276633336.36524
Load,shipping methanol,shipping methanol,-276633337.52217
Link,methanolisation,H2,-324767675.2136
Link,urban central air heat pump,low voltage,-345196484.01742
Link,electrobiofuels,solid biomass,-352000434.04212
Link,electrobiofuels,H2,-360467332.15492
Load,services urban decentral heat,services urban decentral heat,-452252347.74388
Store,co2,co2,-460391732.77593
Link,gas for industry,gas,-474734463.53315
Load,naphtha for industry,naphtha for industry,-504800000.0
Link,naphtha for industry,oil,-504800000.25975
Link,residential urban decentral air heat pump,low voltage,-507694834.93287
Load,gas for industry,gas for industry,-510950000.0
Load,residential rural heat,residential rural heat,-547909224.68024
Load,solid biomass for industry,solid biomass for industry,-627380000.0
Load,land transport EV,EV battery,-686344015.27808
Link,solid biomass for industry CC,solid biomass,-697054320.14435
Link,kerosene for aviation,oil,-743906975.46708
Load,kerosene for aviation,kerosene for aviation,-743906976.62384
Link,BEV charger,low voltage,-791388942.30351
Link,land transport oil,oil,-947303920.63373
Load,land transport oil,land transport oil,-947303921.78965
Link,Fischer-Tropsch,H2,-972849501.01271
Load,urban central heat,urban central heat,-1147326184.40367
Load,residential urban decentral heat,residential urban decentral heat,-1152043401.26022
Link,oil refining,oil primary,-1330105106.68213
Load,industry electricity,low voltage,-1557980000.0
Load,electricity,low voltage,-1574967174.57493
Link,H2 Electrolysis,AC,-2463951336.6333
Link,electricity distribution grid,AC,-5115686827.82463
