cost,component,location,carrier,0
capital,Generator,DK0 0,residential rural solar thermal,161629.02542
capital,Generator,DK0 0,residential urban decentral solar thermal,169456.31415
capital,Generator,DK0 0,services rural solar thermal,172549.86705
capital,Generator,DK0 0,services urban decentral solar thermal,165392.52313
capital,Generator,DK0 0,solar,48064743.43784
capital,Generator,DK0 0,solar rooftop,544834.53826
capital,Generator,DK0 0,solar-hsat,837604.21139
capital,Generator,DK0 0,urban central solar thermal,157097.80751
capital,Generator,DK1 0,load,0.0
capital,Generator,DK1 0,offwind-ac,204884289.12657
capital,Generator,DK1 0,offwind-dc,892149.4802
capital,Generator,DK1 0,onwind,1509422174.52458
capital,Generator,DK1 0,residential rural solar thermal,163066.9692
capital,Generator,DK1 0,residential urban decentral solar thermal,176898.51871
capital,Generator,DK1 0,services rural solar thermal,178402.81762
capital,Generator,DK1 0,services urban decentral solar thermal,174899.39286
capital,Generator,DK1 0,solar,15949966.17839
capital,Generator,DK1 0,solar rooftop,908475.35732
capital,Generator,DK1 0,solar-hsat,1230878.15422
capital,Generator,DK1 0,urban central solar thermal,167444.61279
capital,Generator,EE0 0,load,0.0
capital,Generator,EE0 0,offwind-ac,1159853.21691
capital,Generator,EE0 0,offwind-dc,932995.48693
capital,Generator,EE0 0,onwind,760399556.96773
capital,Generator,EE0 0,residential rural solar thermal,161158.36576
capital,Generator,EE0 0,residential urban decentral solar thermal,159472.77482
capital,Generator,EE0 0,services rural solar thermal,164981.12624
capital,Generator,EE0 0,services urban decentral solar thermal,171736.51545
capital,Generator,EE0 0,solar,16646152.74033
capital,Generator,EE0 0,solar rooftop,1635926.61775
capital,Generator,EE0 0,solar-hsat,1640534.3408
capital,Generator,EE0 0,urban central solar thermal,164116.71097
capital,Generator,ES0 0,load,0.0
capital,Generator,ES0 0,nuclear,3543132437.75365
capital,Generator,ES0 0,offwind-ac,3731917.10545
capital,Generator,ES0 0,offwind-dc,1106871.14499
capital,Generator,ES0 0,onwind,2911324080.43415
capital,Generator,ES0 0,residential rural solar thermal,377550.4298
capital,Generator,ES0 0,residential urban decentral solar thermal,376737.59645
capital,Generator,ES0 0,ror,40062148.34745
capital,Generator,ES0 0,services rural solar thermal,396394.2293
capital,Generator,ES0 0,services urban decentral solar thermal,359393.76485
capital,Generator,ES0 0,solar,31814876215.52297
capital,Generator,ES0 0,solar rooftop,2912668825.89966
capital,Generator,ES0 0,solar-hsat,2128768.46434
capital,Generator,ES0 0,urban central solar thermal,294340.16297
capital,Generator,ES6 0,load,0.0
capital,Generator,ES6 0,nuclear,2286094336.33928
capital,Generator,ES6 0,offwind-ac,535353.49401
capital,Generator,ES6 0,offwind-dc,604739.95422
capital,Generator,ES6 0,onwind,750111444.5041
capital,Generator,ES6 0,residential rural solar thermal,230773.44294
capital,Generator,ES6 0,residential urban decentral solar thermal,246323.2857
capital,Generator,ES6 0,ror,45303586.30495
capital,Generator,ES6 0,services rural solar thermal,246265.10753
capital,Generator,ES6 0,services urban decentral solar thermal,274875.46912
capital,Generator,ES6 0,solar,350363080.95958
capital,Generator,ES6 0,solar rooftop,48402619.35536
capital,Generator,ES6 0,solar-hsat,1143283.8997
capital,Generator,ES6 0,urban central solar thermal,222778.50963
capital,Generator,EU,biogas,0.0
capital,Generator,EU,coal,0.0
capital,Generator,EU,gas,0.0
capital,Generator,EU,load,0.0
capital,Generator,EU,oil primary,0.0
capital,Generator,EU,solid biomass,0.0
capital,Generator,FI1 0,load,0.0
capital,Generator,FI1 0,nuclear,3288028988.6046
capital,Generator,FI1 0,offwind-ac,13838345.7612
capital,Generator,FI1 0,offwind-dc,1468771008.54419
capital,Generator,FI1 0,onwind,891280962.16044
capital,Generator,FI1 0,residential rural solar thermal,132552.22143
capital,Generator,FI1 0,residential urban decentral solar thermal,134681.37799
capital,Generator,FI1 0,ror,453195348.92122
capital,Generator,FI1 0,services rural solar thermal,134825.97149
capital,Generator,FI1 0,services urban decentral solar thermal,129744.6621
capital,Generator,FI1 0,solar,9427965.95492
capital,Generator,FI1 0,solar rooftop,818077.90553
capital,Generator,FI1 0,solar-hsat,1389387.86439
capital,Generator,FI1 0,urban central solar thermal,127076.96624
capital,Generator,FR0 0,load,0.0
capital,Generator,FR0 0,nuclear,48756271182.48695
capital,Generator,FR0 0,offwind-ac,6613161440.24295
capital,Generator,FR0 0,offwind-dc,19974175.63976
capital,Generator,FR0 0,onwind,2216996426.49884
capital,Generator,FR0 0,residential rural solar thermal,306413.71846
capital,Generator,FR0 0,residential urban decentral solar thermal,327219.81862
capital,Generator,FR0 0,ror,2104829751.47617
capital,Generator,FR0 0,services rural solar thermal,306537.42921
capital,Generator,FR0 0,services urban decentral solar thermal,304051.90706
capital,Generator,FR0 0,solar,11549850429.55972
capital,Generator,FR0 0,solar rooftop,12911545.66252
capital,Generator,FR0 0,solar-hsat,1932285.27422
capital,Generator,FR0 0,urban central solar thermal,325691.37457
capital,Generator,FR5 0,load,0.0
capital,Generator,FR5 0,offwind-ac,621242.86161
capital,Generator,FR5 0,offwind-dc,772834.87064
capital,Generator,FR5 0,onwind,1691710.54086
capital,Generator,FR5 0,residential rural solar thermal,279347.84911
capital,Generator,FR5 0,residential urban decentral solar thermal,0.0
capital,Generator,FR5 0,ror,45627745.23532
capital,Generator,FR5 0,services rural solar thermal,269743.53395
capital,Generator,FR5 0,services urban decentral solar thermal,272101.89195
capital,Generator,FR5 0,solar,322071938.75579
capital,Generator,FR5 0,solar rooftop,18453851.48461
capital,Generator,FR5 0,solar-hsat,769670.28201
capital,Generator,GB2 0,load,0.0
capital,Generator,GB2 0,nuclear,12017020038.09951
capital,Generator,GB2 0,offwind-ac,4499532164.92541
capital,Generator,GB2 0,offwind-dc,1286373.99586
capital,Generator,GB2 0,onwind,21532680207.17145
capital,Generator,GB2 0,residential rural solar thermal,196922.70601
capital,Generator,GB2 0,residential urban decentral solar thermal,203458.39907
capital,Generator,GB2 0,ror,678984076.15559
