component,carrier,location,bus_carrier,0
Generator,load,ES0 0,urban central heat,0.0
Generator,load,ES6 0,AC,0.0
Generator,load,ES6 0,EV battery,1.73725
Generator,load,ES6 0,H2,1.78146
Generator,load,ES6 0,battery,0.0
Generator,load,ES6 0,home battery,0.0
Generator,load,ES6 0,low voltage,0.0
Generator,load,ES6 0,residential rural heat,0.0
Generator,load,ES6 0,residential urban decentral heat,0.0
Generator,load,ES6 0,services rural heat,0.0
Generator,load,ES6 0,services urban decentral heat,0.0
Generator,load,ES6 0,urban central heat,0.0
Generator,load,EU,agriculture machinery oil,1.59943
Generator,load,EU,biogas,1.10766
Generator,load,EU,co2,0.0
Generator,load,EU,co2 sequestered,0.0
Generator,load,EU,co2 stored,0.0
Generator,load,EU,coal,0.0
Generator,load,EU,coal for industry,1.3691
Generator,load,EU,gas,0.0
Generator,load,EU,gas for industry,1.76362
Generator,load,EU,industry methanol,1.59069
Generator,load,EU,kerosene for aviation,1.5968
Generator,load,EU,land transport oil,1.59655
Generator,load,EU,methanol,1.81289
Generator,load,EU,naphtha for industry,1.1074
Generator,load,EU,non-sequestered HVC,28.45582
Generator,load,EU,none,0.0
Generator,load,EU,oil,1.82803
Generator,load,EU,oil primary,0.0
Generator,load,EU,process emissions,1.7847
Generator,load,EU,shipping methanol,1.60269
Generator,load,EU,shipping oil,1.60225
Generator,load,EU,solid biomass,0.53627
Generator,load,EU,solid biomass for industry,0.5361
Generator,load,FI1 0,AC,0.0
Generator,load,FI1 0,EV battery,1.77757
Generator,load,FI1 0,H2,1.78746
Generator,load,FI1 0,battery,0.0
Generator,load,FI1 0,home battery,0.0
Generator,load,FI1 0,low voltage,0.0
Generator,load,FI1 0,residential rural heat,0.0
Generator,load,FI1 0,residential urban decentral heat,0.0
Generator,load,FI1 0,services rural heat,0.0
Generator,load,FI1 0,services urban decentral heat,0.0
Generator,load,FI1 0,urban central heat,0.0
Generator,load,FR0 0,AC,0.0
Generator,load,FR0 0,EV battery,1.73124
Generator,load,FR0 0,H2,1.78788
Generator,load,FR0 0,battery,0.0
Generator,load,FR0 0,home battery,0.0
Generator,load,FR0 0,low voltage,0.0
Generator,load,FR0 0,residential rural heat,0.0
Generator,load,FR0 0,residential urban decentral heat,0.0
Generator,load,FR0 0,services rural heat,0.0
Generator,load,FR0 0,services urban decentral heat,0.0
Generator,load,FR0 0,urban central heat,0.0
Generator,load,FR5 0,AC,1.16849
Generator,load,FR5 0,EV battery,1.73599
Generator,load,FR5 0,H2,1.77137
Generator,load,FR5 0,battery,1.4668
Generator,load,FR5 0,home battery,1.48354
Generator,load,FR5 0,low voltage,1.4718
Generator,load,FR5 0,residential rural heat,0.0
Generator,load,FR5 0,residential urban decentral heat,0.0
Generator,load,FR5 0,services rural heat,0.0
Generator,load,FR5 0,services urban decentral heat,0.0
Generator,load,GB2 0,AC,0.0
Generator,load,GB2 0,EV battery,1.74786
Generator,load,GB2 0,H2,1.78852
Generator,load,GB2 0,battery,0.0
Generator,load,GB2 0,home battery,0.0
Generator,load,GB2 0,low voltage,0.0
Generator,load,GB2 0,residential rural heat,0.0
Generator,load,GB2 0,residential urban decentral heat,0.0
Generator,load,GB2 0,services rural heat,0.0
Generator,load,GB2 0,services urban decentral heat,0.0
Generator,load,GB2 0,urban central heat,0.0
Generator,load,GB3 0,AC,0.0
Generator,load,GB3 0,EV battery,1.76807
Generator,load,GB3 0,H2,1.78891
Generator,load,GB3 0,battery,0.0
Generator,load,GB3 0,home battery,0.0
Generator,load,GB3 0,low voltage,0.0
Generator,load,GB3 0,residential rural heat,0.0
Generator,load,GB3 0,residential urban decentral heat,0.0
Generator,load,GB3 0,services rural heat,0.0
Generator,load,GB3 0,services urban decentral heat,0.0
Generator,load,GB3 0,urban central heat,0.0
Generator,load,GR0 0,AC,1.02927
Generator,load,GR0 0,EV battery,1.7794
Generator,load,GR0 0,H2,1.79195
Generator,load,GR0 0,battery,1.03252
Generator,load,GR0 0,home battery,1.06502
Generator,load,GR0 0,low voltage,1.03021
Generator,load,GR0 0,residential rural heat,0.0
Generator,load,GR0 0,residential urban decentral heat,0.0
Generator,load,GR0 0,services rural heat,0.0
Generator,load,GR0 0,services urban decentral heat,0.0
Generator,load,GR0 0,urban central heat,0.0
Generator,load,HR0 0,AC,1.03119
Generator,load,HR0 0,EV battery,1.78167
Generator,load,HR0 0,H2,1.79149
Generator,load,HR0 0,battery,1.04921
Generator,load,HR0 0,home battery,1.10327
Generator,load,HR0 0,low voltage,1.0336
Generator,load,HR0 0,residential rural heat,0.0
Generator,load,HR0 0,residential urban decentral heat,0.0
Generator,load,HR0 0,services rural heat,0.0
Generator,load,HR0 0,services urban decentral heat,0.0
Generator,load,HR0 0,urban central heat,0.0
Generator,load,HU0 0,AC,0.0
Generator,load,HU0 0,EV battery,1.77942
Generator,load,HU0 0,H2,1.79112
Generator,load,HU0 0,battery,0.0
Generator,load,HU0 0,home battery,0.0
Generator,load,HU0 0,low voltage,0.0
Generator,load,HU0 0,residential rural heat,0.0
Generator,load,HU0 0,residential urban decentral heat,0.0
Generator,load,HU0 0,services rural heat,0.0
Generator,load,HU0 0,services urban decentral heat,0.0
Generator,load,HU0 0,urban central heat,0.0
Generator,load,IE3 0,AC,0.99664
Generator,load,IE3 0,EV battery,1.78312
Generator,load,IE3 0,H2,1.78856
Generator,load,IE3 0,battery,1.013
Generator,load,IE3 0,home battery,1.10863
Generator,load,IE3 0,low voltage,1.02987
Generator,load,IE3 0,residential rural heat,0.0
Generator,load,IE3 0,residential urban decentral heat,0.0
Generator,load,IE3 0,services rural heat,0.0
Generator,load,IE3 0,services urban decentral heat,0.0
Generator,load,IE3 0,urban central heat,0.0
Generator,load,IT0 0,AC,0.0
Generator,load,IT0 0,EV battery,1.7271
Generator,load,IT0 0,H2,1.79038
Generator,load,IT0 0,battery,0.0
Generator,load,IT0 0,home battery,0.0
Generator,load,IT0 0,low voltage,0.0
Generator,load,IT0 0,residential rural heat,0.0
Generator,load,IT0 0,residential urban decentral heat,0.0
Generator,load,IT0 0,services rural heat,0.0
Generator,load,IT0 0,services urban decentral heat,0.0
Generator,load,IT0 0,urban central heat,0.0
Generator,load,IT4 0,AC,1.01739
Generator,load,IT4 0,EV battery,1.77534
Generator,load,IT4 0,H2,1.79004
Generator,load,IT4 0,battery,1.04234
Generator,load,IT4 0,home battery,1.07274
Generator,load,IT4 0,low voltage,1.02213
Generator,load,IT4 0,residential rural heat,0.0
Generator,load,IT4 0,residential urban decentral heat,0.0
Generator,load,IT4 0,services rural heat,0.0
Generator,load,IT4 0,services urban decentral heat,0.0
Generator,load,IT4 0,urban central heat,0.0
Generator,load,LT0 0,AC,0.0
Generator,load,LT0 0,EV battery,1.77756
Generator,load,LT0 0,H2,1.78983
Generator,load,LT0 0,battery,0.0
Generator,load,LT0 0,home battery,0.0
Generator,load,LT0 0,low voltage,0.0
Generator,load,LT0 0,residential rural heat,0.0
Generator,load,LT0 0,residential urban decentral heat,0.0
Generator,load,LT0 0,services rural heat,0.0
Generator,load,LT0 0,services urban decentral heat,0.0
Generator,load,LT0 0,urban central heat,0.0
Generator,load,LU0 0,AC,0.92222
Generator,load,LU0 0,EV battery,1.76069
Generator,load,LU0 0,H2,1.78869
Generator,load,LU0 0,battery,0.93037
Generator,load,LU0 0,home battery,1.00971
Generator,load,LU0 0,low voltage,0.97575
Generator,load,LU0 0,residential rural heat,0.0
Generator,load,LU0 0,residential urban decentral heat,0.0
Generator,load,LU0 0,services rural heat,0.0
Generator,load,LU0 0,services urban decentral heat,0.0
Generator,load,LU0 0,urban central heat,0.0
Generator,load,LV0 0,AC,1.02721
Generator,load,LV0 0,EV battery,1.76988
Generator,load,LV0 0,H2,1.7899
Generator,load,LV0 0,battery,1.04325
Generator,load,LV0 0,home battery,1.09271
Generator,load,LV0 0,low voltage,1.04628
Generator,load,LV0 0,residential rural heat,0.0
Generator,load,LV0 0,residential urban decentral heat,0.0
Generator,load,LV0 0,services rural heat,0.0
Generator,load,LV0 0,services urban decentral heat,0.0
Generator,load,LV0 0,urban central heat,0.0
Generator,load,ME0 0,AC,1.00243
Generator,load,ME0 0,EV battery,1.74081
Generator,load,ME0 0,H2,1.79166
Generator,load,ME0 0,battery,1.00619
Generator,load,ME0 0,home battery,1.06013
Generator,load,ME0 0,low voltage,1.00646
Generator,load,ME0 0,residential rural heat,0.0
Generator,load,ME0 0,residential urban decentral heat,0.0
Generator,load,ME0 0,services rural heat,0.0
Generator,load,ME0 0,services urban decentral heat,0.0
Generator,load,ME0 0,urban central heat,0.0
Generator,load,MK0 0,AC,0.89088
Generator,load,MK0 0,EV battery,1.77191
Generator,load,MK0 0,H2,1.79197
Generator,load,MK0 0,battery,0.89122
Generator,load,MK0 0,home battery,0.87557
Generator,load,MK0 0,low voltage,0.89156
