cost,component,location,carrier,0
capital,Generator,DK0 0,residential rural solar thermal,152359.92108
capital,Generator,DK0 0,residential urban decentral solar thermal,168790.48504
capital,Generator,DK0 0,services rural solar thermal,167994.87469
capital,Generator,DK0 0,services urban decentral solar thermal,160149.85536
capital,Generator,DK0 0,solar,48075061.27574
capital,Generator,DK0 0,solar rooftop,632593.68655
capital,Generator,DK0 0,solar-hsat,1050232.67629
capital,Generator,DK0 0,urban central solar thermal,138639.80316
capital,Generator,DK1 0,load,0.0
capital,Generator,DK1 0,offwind-ac,204895660.26978
capital,Generator,DK1 0,offwind-dc,995446.18985
capital,Generator,DK1 0,onwind,1509415956.87624
capital,Generator,DK1 0,residential rural solar thermal,149826.27634
capital,Generator,DK1 0,residential urban decentral solar thermal,174445.08763
capital,Generator,DK1 0,services rural solar thermal,170231.62814
capital,Generator,DK1 0,services urban decentral solar thermal,168053.0026
capital,Generator,DK1 0,solar,16142234.8913
capital,Generator,DK1 0,solar rooftop,956723.01081
capital,Generator,DK1 0,solar-hsat,1925690.54477
capital,Generator,DK1 0,urban central solar thermal,147388.24012
capital,Generator,EE0 0,load,0.0
capital,Generator,EE0 0,offwind-ac,1408723.07742
capital,Generator,EE0 0,offwind-dc,1033440.02257
capital,Generator,EE0 0,onwind,760735382.61082
capital,Generator,EE0 0,residential rural solar thermal,151122.95977
capital,Generator,EE0 0,residential urban decentral solar thermal,152744.37215
capital,Generator,EE0 0,services rural solar thermal,157281.78
capital,Generator,EE0 0,services urban decentral solar thermal,166067.3783
capital,Generator,EE0 0,solar,21052943.89936
capital,Generator,EE0 0,solar rooftop,1538312.07029
capital,Generator,EE0 0,solar-hsat,2183726.2394
capital,Generator,EE0 0,urban central solar thermal,146256.95697
capital,Generator,ES0 0,load,0.0
capital,Generator,ES0 0,nuclear,3543110378.08691
capital,Generator,ES0 0,offwind-ac,3752589.41278
capital,Generator,ES0 0,offwind-dc,1229056.02257
capital,Generator,ES0 0,onwind,2911273559.19695
capital,Generator,ES0 0,residential rural solar thermal,395845.47823
capital,Generator,ES0 0,residential urban decentral solar thermal,451451.86354
capital,Generator,ES0 0,ror,40062148.34745
capital,Generator,ES0 0,services rural solar thermal,423977.54278
capital,Generator,ES0 0,services urban decentral solar thermal,360707.01116
capital,Generator,ES0 0,solar,31814964135.18611
capital,Generator,ES0 0,solar rooftop,2912412534.89949
capital,Generator,ES0 0,solar-hsat,2458166.45006
capital,Generator,ES0 0,urban central solar thermal,249324.43924
capital,Generator,ES6 0,load,0.0
capital,Generator,ES6 0,nuclear,2286107279.6327
capital,Generator,ES6 0,offwind-ac,608239.62753
capital,Generator,ES6 0,offwind-dc,691828.01538
capital,Generator,ES6 0,onwind,749912306.20881
capital,Generator,ES6 0,residential rural solar thermal,190595.98607
capital,Generator,ES6 0,residential urban decentral solar thermal,234802.67583
capital,Generator,ES6 0,ror,45303586.30495
capital,Generator,ES6 0,services rural solar thermal,220270.46972
capital,Generator,ES6 0,services urban decentral solar thermal,280110.06064
capital,Generator,ES6 0,solar,349909538.67235
capital,Generator,ES6 0,solar rooftop,48407683.04172
capital,Generator,ES6 0,solar-hsat,1630231.73657
capital,Generator,ES6 0,urban central solar thermal,198078.48031
capital,Generator,EU,biogas,0.0
capital,Generator,EU,coal,0.0
capital,Generator,EU,gas,0.0
capital,Generator,EU,load,0.0
capital,Generator,EU,oil primary,0.0
capital,Generator,EU,solid biomass,0.0
capital,Generator,FI1 0,load,0.0
capital,Generator,FI1 0,nuclear,3288040648.22783
capital,Generator,FI1 0,offwind-ac,13929626.79821
capital,Generator,FI1 0,offwind-dc,1466926561.12475
capital,Generator,FI1 0,onwind,891260492.81556
capital,Generator,FI1 0,residential rural solar thermal,121964.56675
capital,Generator,FI1 0,residential urban decentral solar thermal,128866.8575
capital,Generator,FI1 0,ror,453195348.92122
capital,Generator,FI1 0,services rural solar thermal,129680.6226
capital,Generator,FI1 0,services urban decentral solar thermal,124751.27676
capital,Generator,FI1 0,solar,9517230.1303
capital,Generator,FI1 0,solar rooftop,1142889.35373
capital,Generator,FI1 0,solar-hsat,1856922.32684
capital,Generator,FI1 0,urban central solar thermal,114353.59174
capital,Generator,FR0 0,load,0.0
capital,Generator,FR0 0,nuclear,48756319829.6647
capital,Generator,FR0 0,offwind-ac,6569234854.67061
capital,Generator,FR0 0,offwind-dc,29433804.22418
capital,Generator,FR0 0,onwind,2217013254.50994
capital,Generator,FR0 0,residential rural solar thermal,310112.77278
capital,Generator,FR0 0,residential urban decentral solar thermal,323752.39777
capital,Generator,FR0 0,ror,2104829751.47617
capital,Generator,FR0 0,services rural solar thermal,313733.62242
capital,Generator,FR0 0,services urban decentral solar thermal,292873.07004
capital,Generator,FR0 0,solar,11587385578.1824
capital,Generator,FR0 0,solar rooftop,17358538.74718
capital,Generator,FR0 0,solar-hsat,2130980.33703
capital,Generator,FR0 0,urban central solar thermal,272625.41239
capital,Generator,FR5 0,load,0.0
capital,Generator,FR5 0,offwind-ac,742455.58416
capital,Generator,FR5 0,offwind-dc,961858.62463
capital,Generator,FR5 0,onwind,1810816.90218
capital,Generator,FR5 0,residential rural solar thermal,251619.7857
capital,Generator,FR5 0,residential urban decentral solar thermal,0.0
capital,Generator,FR5 0,ror,45627745.23532
capital,Generator,FR5 0,services rural solar thermal,241160.98764
capital,Generator,FR5 0,services urban decentral solar thermal,265675.83889
capital,Generator,FR5 0,solar,321652659.70913
capital,Generator,FR5 0,solar rooftop,18443443.35686
capital,Generator,FR5 0,solar-hsat,1181132.76417
capital,Generator,GB2 0,load,0.0
capital,Generator,GB2 0,nuclear,12016877195.18189
capital,Generator,GB2 0,offwind-ac,4499391663.45952
capital,Generator,GB2 0,offwind-dc,1371156.18999
capital,Generator,GB2 0,onwind,21533197113.08538
capital,Generator,GB2 0,residential rural solar thermal,195412.46897
capital,Generator,GB2 0,residential urban decentral solar thermal,202339.6621
capital,Generator,GB2 0,ror,678984076.15559
capital,Generator,GB2 0,services rural solar thermal,189883.61259
capital,Generator,GB2 0,services urban decentral solar thermal,187243.09359
capital,Generator,GB2 0,solar,387311471.33111
capital,Generator,GB2 0,solar rooftop,1438115.94281
capital,Generator,GB2 0,solar-hsat,1471827.89305
capital,Generator,GB2 0,urban central solar thermal,165708.49867
capital,Generator,GB3 0,load,0.0
capital,Generator,GB3 0,nuclear,2441526079.58921
capital,Generator,GB3 0,offwind-ac,1095219444.99785
capital,Generator,GB3 0,offwind-dc,1417756.11724
capital,Generator,GB3 0,onwind,647226721.90301
capital,Generator,GB3 0,residential rural solar thermal,160273.06555
capital,Generator,GB3 0,residential urban decentral solar thermal,151071.72557
capital,Generator,GB3 0,ror,441577325.90046
capital,Generator,GB3 0,services rural solar thermal,147127.22864
capital,Generator,GB3 0,services urban decentral solar thermal,160252.62721
capital,Generator,GB3 0,solar,10400932.40256
capital,Generator,GB3 0,solar rooftop,447909.87158
capital,Generator,GB3 0,solar-hsat,751396.2009
capital,Generator,GB3 0,urban central solar thermal,132790.99562
capital,Generator,GR0 0,load,0.0
capital,Generator,GR0 0,offwind-ac,906075.31519
capital,Generator,GR0 0,offwind-dc,964591.97168
capital,Generator,GR0 0,onwind,473098204.87278
capital,Generator,GR0 0,residential rural solar thermal,309438.01384
capital,Generator,GR0 0,residential urban decentral solar thermal,345005.81869
capital,Generator,GR0 0,ror,31772365.34325
capital,Generator,GR0 0,services rural solar thermal,342159.62775
capital,Generator,GR0 0,services urban decentral solar thermal,340120.79108
capital,Generator,GR0 0,solar,6307026727.96473
capital,Generator,GR0 0,solar rooftop,566695028.71886
capital,Generator,GR0 0,solar-hsat,2037402.3945
capital,Generator,GR0 0,urban central solar thermal,285163.12156
capital,Generator,HR0 0,load,0.0
capital,Generator,HR0 0,offwind-ac,914857.81365
capital,Generator,HR0 0,offwind-dc,1099826.71027
capital,Generator,HR0 0,onwind,107317549.80489
capital,Generator,HR0 0,residential rural solar thermal,238842.20205
capital,Generator,HR0 0,residential urban decentral solar thermal,237294.71933
capital,Generator,HR0 0,ror,85877138.08148
capital,Generator,HR0 0,services rural solar thermal,249326.84193
capital,Generator,HR0 0,services urban decentral solar thermal,244906.09855
capital,Generator,HR0 0,solar,3402037.75454
capital,Generator,HR0 0,solar rooftop,1308315.83942
capital,Generator,HR0 0,solar-hsat,1297936.55561
capital,Generator,HR0 0,urban central solar thermal,218940.27754
capital,Generator,HU0 0,load,0.0
capital,Generator,HU0 0,nuclear,1431378510.85263
capital,Generator,HU0 0,onwind,30422970.83437
capital,Generator,HU0 0,residential rural solar thermal,199625.15897
capital,Generator,HU0 0,residential urban decentral solar thermal,209138.91921
capital,Generator,HU0 0,ror,6070956.3265
capital,Generator,HU0 0,services rural solar thermal,213549.02541
capital,Generator,HU0 0,services urban decentral solar thermal,197896.23157
capital,Generator,HU0 0,solar,75969660.16997
capital,Generator,HU0 0,solar rooftop,1571491.23596
capital,Generator,HU0 0,solar-hsat,1403705.59467
capital,Generator,HU0 0,urban central solar thermal,173052.65958
capital,Generator,IE3 0,load,0.0
capital,Generator,IE3 0,offwind-ac,10657111.26109
capital,Generator,IE3 0,offwind-dc,3461824.35793
capital,Generator,IE3 0,onwind,447633344.37781
capital,Generator,IE3 0,residential rural solar thermal,185135.06164
capital,Generator,IE3 0,residential urban decentral solar thermal,188429.76188
capital,Generator,IE3 0,ror,66564800.33115
capital,Generator,IE3 0,services rural solar thermal,184235.65526
capital,Generator,IE3 0,services urban decentral solar thermal,181473.91342
