carrier,0
methanolisation,-inf
DAC,-inf
H2 Electrolysis,-inf
H2 pipeline,-inf
battery charger,-inf
electricity distribution grid,-15216.287654240023
AC,6.2128806080308205
DC,11.560184438616044
solar,25.213540035136525
battery discharger,25.521933411760003
solar-hsat,28.397526282345904
onwind,35.407877604624595
ror,40.845609616422905
offwind-ac,44.19636187318295
load,44.48275862068966
offwind-dc,46.764493340954175
nuclear,68.3326527979131
PHS,73.21868853764096
waste CHP CC,78.95819251722841
hydro,81.04443317346146
waste CHP,116.10506266252546
CCGT,268.791004187572
