cost,component,carrier,0
capital,Generator,biogas,0.0
capital,Generator,load,0.0
capital,Generator,offwind-ac,67770009466.86343
capital,Generator,offwind-dc,119682784217.72919
capital,Generator,onwind,36164697498.12114
capital,Generator,ror,15121742314.61956
capital,Generator,solar,24183099689.49901
capital,Generator,solar rooftop,3520375590.66783
capital,Generator,solar-hsat,548454.24447
capital,Generator,solid biomass,0.0
capital,Line,AC,9124803729.45666
capital,Link,BEV charger,0.0
capital,Link,DC,32291257517.95267
capital,Link,H2 Electrolysis,44759.97394
capital,Link,V2G,0.0
capital,Link,battery charger,997942359.40388
capital,Link,battery discharger,0.0
capital,Link,co2 sequestered,0.0
capital,Link,electricity distribution grid,45258192468.8847
capital,Link,home battery charger,298311.41196
capital,Link,home battery discharger,0.0
capital,Link,land transport oil,0.0
capital,Link,residential rural air heat pump,2437033200.76594
capital,Link,residential rural ground heat pump,20081935804.12095
capital,Link,residential urban decentral air heat pump,35726059787.36077
capital,Link,services rural air heat pump,1021153737.18012
capital,Link,services rural ground heat pump,7510859066.25671
capital,Link,services urban decentral air heat pump,14322355557.98387
capital,Link,urban central air heat pump,29169169572.3669
capital,StorageUnit,PHS,10238012412.75842
capital,StorageUnit,hydro,19440523664.00005
capital,Store,EV battery,0.0
capital,Store,H2 Store,61471.33035
capital,Store,battery,29583595870.26976
capital,Store,co2,0.0
capital,Store,co2 sequestered,1655.89151
capital,Store,co2 stored,3768.64162
capital,Store,home battery,881082.85352
capital,Store,oil,2570.96028
marginal,Generator,biogas,0.0
marginal,Generator,load,94730402068140.11
marginal,Generator,offwind-ac,24309503.69072
marginal,Generator,offwind-dc,43080207.12312
marginal,Generator,onwind,15530200.54416
marginal,Generator,ror,1676330.13687
marginal,Generator,solar,18774208.34561
marginal,Generator,solar rooftop,3032474.82862
marginal,Generator,solar-hsat,245.18202
marginal,Generator,solid biomass,0.0
marginal,Link,BEV charger,7413888.73786
marginal,Link,DC,12003941.82705
marginal,Link,H2 Electrolysis,0.00549
marginal,Link,V2G,17624.33996
marginal,Link,battery charger,380487.05582
marginal,Link,battery discharger,382434.15231
marginal,Link,co2 sequestered,0.00045
marginal,Link,electricity distribution grid,46126412.74421
marginal,Link,home battery charger,866.20976
marginal,Link,home battery discharger,843.78834
marginal,Link,land transport oil,2586.00534
marginal,Link,residential rural air heat pump,-126633.54755
marginal,Link,residential rural ground heat pump,-5352915.06632
marginal,Link,residential urban decentral air heat pump,-11639533.38796
marginal,Link,services rural air heat pump,-63392.0201
marginal,Link,services rural ground heat pump,-2063143.55436
marginal,Link,services urban decentral air heat pump,-4490957.90688
marginal,Link,urban central air heat pump,-11642009.28638
marginal,StorageUnit,PHS,221410.1094
marginal,StorageUnit,hydro,3362860.26906
marginal,Store,EV battery,0.0
marginal,Store,H2 Store,-0.00611
marginal,Store,battery,0.0
marginal,Store,co2,-662.65598
marginal,Store,co2 sequestered,0.00621
marginal,Store,co2 stored,0.0
marginal,Store,home battery,0.0
marginal,Store,oil,0.0
