cost,component,location,carrier,0
capital,Generator,AL0 0,load,0.0
capital,Generator,AL0 0,offwind-ac,763722930.40955
capital,Generator,AL0 0,offwind-dc,1130327086.69404
capital,Generator,AL0 0,onwind,8459.11961
capital,Generator,AL0 0,ror,14853811.92575
capital,Generator,AL0 0,solar,51754.68185
capital,Generator,AL0 0,solar rooftop,126098.29278
capital,Generator,AL0 0,solar-hsat,20237.50226
capital,Generator,AT0 0,load,0.0
capital,Generator,AT0 0,onwind,9284.69262
capital,Generator,AT0 0,ror,1376929988.78063
capital,Generator,AT0 0,solar,5166136142.50404
capital,Generator,AT0 0,solar rooftop,18386317.42714
capital,Generator,AT0 0,solar-hsat,35257.85565
capital,Generator,BA0 0,load,0.0
capital,Generator,BA0 0,offwind-ac,8717.67164
capital,Generator,BA0 0,onwind,4729.07709
capital,Generator,BA0 0,solar,44841.16842
capital,Generator,BA0 0,solar rooftop,24703.99342
capital,Generator,BA0 0,solar-hsat,19088.05714
capital,Generator,BE0 0,load,0.0
capital,Generator,BE0 0,offwind-ac,154061526.69712
capital,Generator,BE0 0,offwind-dc,177045953.4649
capital,Generator,BE0 0,onwind,164342.49646
capital,Generator,BE0 0,ror,18186779.19648
capital,Generator,BE0 0,solar,36649.22234
capital,Generator,BE0 0,solar rooftop,23298.65803
capital,Generator,BE0 0,solar-hsat,17912.7903
capital,Generator,BG0 0,load,0.0
capital,Generator,BG0 0,offwind-ac,37160.66237
capital,Generator,BG0 0,offwind-dc,844715621.65513
capital,Generator,BG0 0,onwind,11719.72155
capital,Generator,BG0 0,ror,34022009.05814
capital,Generator,BG0 0,solar,89273.12426
capital,Generator,BG0 0,solar rooftop,52865.43342
capital,Generator,BG0 0,solar-hsat,23273.76074
capital,Generator,CH0 0,load,0.0
capital,Generator,CH0 0,onwind,3262.34353
capital,Generator,CH0 0,ror,1295123214.9052
capital,Generator,CH0 0,solar,3679024027.02575
capital,Generator,CH0 0,solar rooftop,565650652.94878
capital,Generator,CH0 0,solar-hsat,44211.56518
capital,Generator,CZ0 0,load,0.0
capital,Generator,CZ0 0,onwind,17277.16199
capital,Generator,CZ0 0,ror,12396579.18494
capital,Generator,CZ0 0,solar,19459.85804
capital,Generator,CZ0 0,solar rooftop,14952.11253
capital,Generator,CZ0 0,solar-hsat,12781.8771
capital,Generator,DE0 0,load,0.0
capital,Generator,DE0 0,offwind-ac,391030531.94087
capital,Generator,DE0 0,offwind-dc,4737849014.26548
capital,Generator,DE0 0,onwind,22876.88786
capital,Generator,DE0 0,ror,506429478.63486
capital,Generator,DE0 0,solar,23302.89733
capital,Generator,DE0 0,solar rooftop,17011.09365
capital,Generator,DE0 0,solar-hsat,14472.91084
capital,Generator,DE0 1,load,0.0
capital,Generator,DE0 1,offwind-ac,419738820.73539
capital,Generator,DE0 1,offwind-dc,55572569.56773
capital,Generator,DE0 1,onwind,10945.84318
capital,Generator,DE0 1,ror,1107467645.73254
capital,Generator,DE0 1,solar,52170.13242
capital,Generator,DE0 1,solar rooftop,27115.50687
capital,Generator,DE0 1,solar-hsat,18534.02624
capital,Generator,DK0 0,load,0.0
capital,Generator,DK0 0,offwind-ac,39938.11073
capital,Generator,DK0 0,offwind-dc,163448.7164
capital,Generator,DK0 0,onwind,651528060.23894
capital,Generator,DK0 0,solar,6760.54053
capital,Generator,DK0 0,solar rooftop,6260.07166
capital,Generator,DK0 0,solar-hsat,6137.90444
capital,Generator,DK1 0,load,0.0
capital,Generator,DK1 0,offwind-ac,2116793035.88007
capital,Generator,DK1 0,offwind-dc,663918320.82376
capital,Generator,DK1 0,onwind,1509431091.13103
capital,Generator,DK1 0,solar,14526.8734
capital,Generator,DK1 0,solar rooftop,11881.80564
capital,Generator,DK1 0,solar-hsat,9883.83015
capital,Generator,EE0 0,load,0.0
capital,Generator,EE0 0,offwind-ac,95676.29946
capital,Generator,EE0 0,offwind-dc,50841.83608
capital,Generator,EE0 0,onwind,2542781575.52341
capital,Generator,EE0 0,solar,7730.16074
capital,Generator,EE0 0,solar rooftop,7130.34831
capital,Generator,EE0 0,solar-hsat,6392.38739
capital,Generator,ES0 0,load,0.0
capital,Generator,ES0 0,offwind-ac,17506.96699
capital,Generator,ES0 0,offwind-dc,21846.46233
capital,Generator,ES0 0,onwind,7880624922.25986
capital,Generator,ES0 0,ror,40062148.34745
capital,Generator,ES0 0,solar,8720139690.40814
capital,Generator,ES0 0,solar rooftop,2356170839.21472
capital,Generator,ES0 0,solar-hsat,36054.04242
capital,Generator,ES6 0,load,0.0
capital,Generator,ES6 0,offwind-ac,10938.43458
capital,Generator,ES6 0,offwind-dc,11036.78035
capital,Generator,ES6 0,onwind,119239076.43522
capital,Generator,ES6 0,ror,45303586.30495
capital,Generator,ES6 0,solar,21995.07389
capital,Generator,ES6 0,solar rooftop,23500.88349
capital,Generator,ES6 0,solar-hsat,13362.01272
capital,Generator,EU,biogas,0.0
capital,Generator,EU,load,0.0
capital,Generator,EU,solid biomass,0.0
capital,Generator,FI1 0,load,0.0
capital,Generator,FI1 0,offwind-ac,495759600.40463
capital,Generator,FI1 0,offwind-dc,9280806719.87489
capital,Generator,FI1 0,onwind,208592.48037
capital,Generator,FI1 0,ror,453195348.92122
capital,Generator,FI1 0,solar,6306.55991
capital,Generator,FI1 0,solar rooftop,6499.08335
capital,Generator,FI1 0,solar-hsat,5697.54816
capital,Generator,FR0 0,load,0.0
capital,Generator,FR0 0,offwind-ac,51204.48395
capital,Generator,FR0 0,offwind-dc,48186476138.90569
capital,Generator,FR0 0,onwind,14747.31673
capital,Generator,FR0 0,ror,2104829751.47617
capital,Generator,FR0 0,solar,25081.13621
capital,Generator,FR0 0,solar rooftop,20664.06942
capital,Generator,FR0 0,solar-hsat,15565.42156
capital,Generator,FR5 0,load,0.0
capital,Generator,FR5 0,offwind-ac,12169.0245
capital,Generator,FR5 0,offwind-dc,17510.86954
capital,Generator,FR5 0,onwind,10700.26878
capital,Generator,FR5 0,ror,45627745.23532
capital,Generator,FR5 0,solar,322799312.06787
capital,Generator,FR5 0,solar rooftop,15986643.54491
capital,Generator,FR5 0,solar-hsat,24248.69393
capital,Generator,GB2 0,load,0.0
capital,Generator,GB2 0,offwind-ac,21554857210.38546
capital,Generator,GB2 0,offwind-dc,28924.70142
capital,Generator,GB2 0,onwind,7356171550.14932
capital,Generator,GB2 0,ror,678984076.15559
capital,Generator,GB2 0,solar,9863.69154
capital,Generator,GB2 0,solar rooftop,9168.53411
capital,Generator,GB2 0,solar-hsat,8122.11127
capital,Generator,GB3 0,load,0.0
capital,Generator,GB3 0,offwind-ac,1095358176.84762
capital,Generator,GB3 0,offwind-dc,3829520176.2584
capital,Generator,GB3 0,onwind,1588953114.6282
capital,Generator,GB3 0,ror,441577325.90046
capital,Generator,GB3 0,solar,5961.32605
capital,Generator,GB3 0,solar rooftop,5399.99241
capital,Generator,GB3 0,solar-hsat,5514.5847
capital,Generator,GR0 0,load,0.0
capital,Generator,GR0 0,offwind-ac,19406.37183
capital,Generator,GR0 0,offwind-dc,26531.42711
capital,Generator,GR0 0,onwind,955775709.54249
capital,Generator,GR0 0,ror,31772365.34325
capital,Generator,GR0 0,solar,3541791624.51075
capital,Generator,GR0 0,solar rooftop,566809063.74567
capital,Generator,GR0 0,solar-hsat,33997.03782
capital,Generator,HR0 0,load,0.0
capital,Generator,HR0 0,offwind-ac,391127542.31399
capital,Generator,HR0 0,offwind-dc,331852.70135
capital,Generator,HR0 0,onwind,24008.69733
capital,Generator,HR0 0,ror,85877138.08148
capital,Generator,HR0 0,solar,23485.79144
capital,Generator,HR0 0,solar rooftop,19184.70454
capital,Generator,HR0 0,solar-hsat,13850.54893
capital,Generator,HU0 0,load,0.0
capital,Generator,HU0 0,onwind,5957809346.87073
capital,Generator,HU0 0,ror,6070956.3265
capital,Generator,HU0 0,solar,15311.50622
capital,Generator,HU0 0,solar rooftop,13728.77866
capital,Generator,HU0 0,solar-hsat,11015.60423
capital,Generator,IE3 0,load,0.0
capital,Generator,IE3 0,offwind-ac,8884572705.00418
capital,Generator,IE3 0,offwind-dc,5768677956.88964
capital,Generator,IE3 0,onwind,35960.06061
capital,Generator,IE3 0,ror,66564800.33115
capital,Generator,IE3 0,solar,7735.79379
capital,Generator,IE3 0,solar rooftop,7872.80639
capital,Generator,IE3 0,solar-hsat,6943.41489
capital,Generator,IT0 0,load,0.0
capital,Generator,IT0 0,offwind-ac,18722.36334
capital,Generator,IT0 0,offwind-dc,25306136719.029
capital,Generator,IT0 0,onwind,29121.71699
capital,Generator,IT0 0,ror,2385990614.24019
capital,Generator,IT0 0,solar,4291310470.27101
capital,Generator,IT0 0,solar rooftop,552263.58165
capital,Generator,IT0 0,solar-hsat,33976.08806
capital,Generator,IT4 0,load,0.0
capital,Generator,IT4 0,offwind-ac,23982.28401
