,0
AC,97.58910475282465
EV battery,79.4811742994515
battery,469.55617148386926
co2,0.010392938371208334
co2 sequestered,8841.609375712054
co2 stored,55026.308016885996
home battery,14.040432232087037
land transport oil,100000.00998375002
low voltage,103.82134385560438
oil,100000.00636257703
residential rural heat,93.90661649176435
residential urban decentral heat,115.74946649046515
services rural heat,93.46276553430593
services urban decentral heat,116.28101923813885
urban central heat,92.68898963332536
