cost,component,location,carrier,0
capital,Generator,AL0 0,load,0.0
capital,Generator,AL0 0,offwind-ac,768684723.94605
capital,Generator,AL0 0,offwind-dc,1130335013.61843
capital,Generator,AL0 0,onwind,7244.52688
capital,Generator,AL0 0,ror,14853811.92575
capital,Generator,AL0 0,solar,38498.93098
capital,Generator,AL0 0,solar rooftop,62346.32186
capital,Generator,AL0 0,solar-hsat,15793.23149
capital,Generator,AT0 0,load,0.0
capital,Generator,AT0 0,onwind,7524.07495
capital,Generator,AT0 0,ror,1376929988.78063
capital,Generator,AT0 0,solar,5166141875.98368
capital,Generator,AT0 0,solar rooftop,71667.05649
capital,Generator,AT0 0,solar-hsat,29930.15389
capital,Generator,BA0 0,load,0.0
capital,Generator,BA0 0,offwind-ac,8523.77165
capital,Generator,BA0 0,onwind,4033.50784
capital,Generator,BA0 0,solar,32591.11959
capital,Generator,BA0 0,solar rooftop,41123.40276
capital,Generator,BA0 0,solar-hsat,15303.70241
capital,Generator,BE0 0,load,0.0
capital,Generator,BE0 0,offwind-ac,154061526.99421
capital,Generator,BE0 0,offwind-dc,177045953.86101
capital,Generator,BE0 0,onwind,57471.46612
capital,Generator,BE0 0,ror,18186779.19648
capital,Generator,BE0 0,solar,22520.12831
capital,Generator,BE0 0,solar rooftop,15986.66099
capital,Generator,BE0 0,solar-hsat,13119.76806
capital,Generator,BG0 0,load,0.0
capital,Generator,BG0 0,offwind-ac,21389.12816
capital,Generator,BG0 0,offwind-dc,1016202626.37246
capital,Generator,BG0 0,onwind,9713.35958
capital,Generator,BG0 0,ror,34022009.05814
capital,Generator,BG0 0,solar,205990.10225
capital,Generator,BG0 0,solar rooftop,87538.21363
capital,Generator,BG0 0,solar-hsat,23097.75002
capital,Generator,CH0 0,load,0.0
capital,Generator,CH0 0,onwind,2724.58315
capital,Generator,CH0 0,ror,1295123214.9052
capital,Generator,CH0 0,solar,3679032168.06414
capital,Generator,CH0 0,solar rooftop,565651438.18807
capital,Generator,CH0 0,solar-hsat,35082.8119
capital,Generator,CZ0 0,load,0.0
capital,Generator,CZ0 0,onwind,12408.91112
capital,Generator,CZ0 0,ror,12396579.18494
capital,Generator,CZ0 0,solar,14457.30479
capital,Generator,CZ0 0,solar rooftop,10808.98797
capital,Generator,CZ0 0,solar-hsat,10089.59718
capital,Generator,DE0 0,load,0.0
capital,Generator,DE0 0,offwind-ac,391030556.69318
capital,Generator,DE0 0,offwind-dc,4737848360.94997
capital,Generator,DE0 0,onwind,18455.04574
capital,Generator,DE0 0,ror,506429478.63486
capital,Generator,DE0 0,solar,17247.39362
capital,Generator,DE0 0,solar rooftop,13491.34991
capital,Generator,DE0 0,solar-hsat,11387.45551
capital,Generator,DE0 1,load,0.0
capital,Generator,DE0 1,offwind-ac,419738775.55311
capital,Generator,DE0 1,offwind-dc,55572569.14277
capital,Generator,DE0 1,onwind,9255.93996
capital,Generator,DE0 1,ror,1107467645.73254
capital,Generator,DE0 1,solar,33875.79763
capital,Generator,DE0 1,solar rooftop,20760.29683
capital,Generator,DE0 1,solar-hsat,14425.5443
capital,Generator,DK0 0,load,0.0
capital,Generator,DK0 0,offwind-ac,31594.95974
capital,Generator,DK0 0,offwind-dc,117984.66154
capital,Generator,DK0 0,onwind,522248473.00338
capital,Generator,DK0 0,solar,5850.53713
capital,Generator,DK0 0,solar rooftop,4136.385
capital,Generator,DK0 0,solar-hsat,5303.28158
capital,Generator,DK1 0,load,0.0
capital,Generator,DK1 0,offwind-ac,2116792860.05423
capital,Generator,DK1 0,offwind-dc,663918533.08446
capital,Generator,DK1 0,onwind,1509431038.34042
capital,Generator,DK1 0,solar,10238.30026
capital,Generator,DK1 0,solar rooftop,6604.88536
capital,Generator,DK1 0,solar-hsat,7296.97027
capital,Generator,EE0 0,load,0.0
capital,Generator,EE0 0,offwind-ac,68487.15952
capital,Generator,EE0 0,offwind-dc,40060.46061
capital,Generator,EE0 0,onwind,2498439911.6886
capital,Generator,EE0 0,solar,6455.8128
capital,Generator,EE0 0,solar rooftop,4157.53001
capital,Generator,EE0 0,solar-hsat,5370.70762
capital,Generator,ES0 0,load,0.0
capital,Generator,ES0 0,offwind-ac,14701.30767
capital,Generator,ES0 0,offwind-dc,17823.67717
capital,Generator,ES0 0,onwind,9167976706.58431
capital,Generator,ES0 0,ror,40062148.34745
capital,Generator,ES0 0,solar,6301583521.64517
capital,Generator,ES0 0,solar rooftop,2246643106.80479
capital,Generator,ES0 0,solar-hsat,30406.5783
capital,Generator,ES6 0,load,0.0
capital,Generator,ES6 0,offwind-ac,8977.12249
capital,Generator,ES6 0,offwind-dc,8485.53025
capital,Generator,ES6 0,onwind,115808208.83169
capital,Generator,ES6 0,ror,45303586.30495
capital,Generator,ES6 0,solar,10443.54665
capital,Generator,ES6 0,solar rooftop,11600.10291
capital,Generator,ES6 0,solar-hsat,7085.33196
capital,Generator,EU,biogas,0.0
capital,Generator,EU,load,0.0
capital,Generator,EU,solid biomass,0.0
capital,Generator,FI1 0,load,0.0
capital,Generator,FI1 0,offwind-ac,602949440.43048
capital,Generator,FI1 0,offwind-dc,9280810468.34407
capital,Generator,FI1 0,onwind,290101.62075
capital,Generator,FI1 0,ror,453195348.92122
capital,Generator,FI1 0,solar,5598.96166
capital,Generator,FI1 0,solar rooftop,4937.21566
capital,Generator,FI1 0,solar-hsat,4902.15776
capital,Generator,FR0 0,load,0.0
capital,Generator,FR0 0,offwind-ac,41380.61539
capital,Generator,FR0 0,offwind-dc,46647472555.53601
capital,Generator,FR0 0,onwind,12417.22497
capital,Generator,FR0 0,ror,2104829751.47617
capital,Generator,FR0 0,solar,21678.43689
capital,Generator,FR0 0,solar rooftop,17626.12627
capital,Generator,FR0 0,solar-hsat,13289.39503
capital,Generator,FR5 0,load,0.0
capital,Generator,FR5 0,offwind-ac,9908.81215
capital,Generator,FR5 0,offwind-dc,14202.82693
capital,Generator,FR5 0,onwind,8558.70816
capital,Generator,FR5 0,ror,45627745.23532
capital,Generator,FR5 0,solar,322810973.99663
capital,Generator,FR5 0,solar rooftop,11755237.80019
capital,Generator,FR5 0,solar-hsat,14470.15745
capital,Generator,GB2 0,load,0.0
capital,Generator,GB2 0,offwind-ac,21554862763.83678
capital,Generator,GB2 0,offwind-dc,23428.71126
capital,Generator,GB2 0,onwind,7188099073.59283
capital,Generator,GB2 0,ror,678984076.15559
capital,Generator,GB2 0,solar,8195.22727
capital,Generator,GB2 0,solar rooftop,7766.9945
capital,Generator,GB2 0,solar-hsat,6780.51616
capital,Generator,GB3 0,load,0.0
capital,Generator,GB3 0,offwind-ac,1095358106.92747
capital,Generator,GB3 0,offwind-dc,3678158937.06479
capital,Generator,GB3 0,onwind,1638535461.19034
capital,Generator,GB3 0,ror,441577325.90046
capital,Generator,GB3 0,solar,4871.7042
capital,Generator,GB3 0,solar rooftop,3223.41626
capital,Generator,GB3 0,solar-hsat,4538.18969
capital,Generator,GR0 0,load,0.0
capital,Generator,GR0 0,offwind-ac,16699.16002
capital,Generator,GR0 0,offwind-dc,22069.89079
capital,Generator,GR0 0,onwind,1031755301.96938
capital,Generator,GR0 0,ror,31772365.34325
capital,Generator,GR0 0,solar,3275653320.08913
capital,Generator,GR0 0,solar rooftop,566809768.31286
capital,Generator,GR0 0,solar-hsat,28928.18038
capital,Generator,HR0 0,load,0.0
capital,Generator,HR0 0,offwind-ac,284347669.64742
capital,Generator,HR0 0,offwind-dc,120282.86242
capital,Generator,HR0 0,onwind,23799.47732
capital,Generator,HR0 0,ror,85877138.08148
capital,Generator,HR0 0,solar,17009.26799
capital,Generator,HR0 0,solar rooftop,11968.54114
capital,Generator,HR0 0,solar-hsat,10781.4107
capital,Generator,HU0 0,load,0.0
capital,Generator,HU0 0,onwind,5852259494.84918
capital,Generator,HU0 0,ror,6070956.3265
capital,Generator,HU0 0,solar,12581.47253
capital,Generator,HU0 0,solar rooftop,10665.75792
capital,Generator,HU0 0,solar-hsat,9086.21324
capital,Generator,IE3 0,load,0.0
capital,Generator,IE3 0,offwind-ac,8884594239.29358
capital,Generator,IE3 0,offwind-dc,5473747642.80819
capital,Generator,IE3 0,onwind,30826.37646
capital,Generator,IE3 0,ror,66564800.33115
capital,Generator,IE3 0,solar,6490.84562
capital,Generator,IE3 0,solar rooftop,5691.16088
capital,Generator,IE3 0,solar-hsat,5817.42111
capital,Generator,IT0 0,load,0.0
capital,Generator,IT0 0,offwind-ac,16013.13982
capital,Generator,IT0 0,offwind-dc,24996858914.34171
capital,Generator,IT0 0,onwind,25317.34439
capital,Generator,IT0 0,ror,2385990614.24019
capital,Generator,IT0 0,solar,3856823110.2647
capital,Generator,IT0 0,solar rooftop,784213.61489
capital,Generator,IT0 0,solar-hsat,28881.74088
capital,Generator,IT4 0,load,0.0
capital,Generator,IT4 0,offwind-ac,19537.23307
capital,Generator,IT4 0,offwind-dc,26673.52218
capital,Generator,IT4 0,onwind,1013003892.6971
capital,Generator,IT4 0,ror,39784795.01274
capital,Generator,IT4 0,solar,1143565992.65029
capital,Generator,IT4 0,solar rooftop,93400408.92889
capital,Generator,IT4 0,solar-hsat,18878.53822
capital,Generator,LT0 0,load,0.0
capital,Generator,LT0 0,offwind-ac,15056.55672
capital,Generator,LT0 0,offwind-dc,38701.98014
capital,Generator,LT0 0,onwind,12359.15617
capital,Generator,LT0 0,ror,31125207.56225
capital,Generator,LT0 0,solar,12736.3818
capital,Generator,LT0 0,solar rooftop,8745.19962
capital,Generator,LT0 0,solar-hsat,9725.63816
capital,Generator,LU0 0,load,0.0
capital,Generator,LU0 0,onwind,6888.94714
capital,Generator,LU0 0,solar,25066.00162
capital,Generator,LU0 0,solar rooftop,11569.96816
capital,Generator,LU0 0,solar-hsat,10036.46655
capital,Generator,LV0 0,load,0.0
capital,Generator,LV0 0,offwind-ac,30050.52
capital,Generator,LV0 0,offwind-dc,110164.73255
capital,Generator,LV0 0,onwind,20168.3164
capital,Generator,LV0 0,ror,473380508.2809
capital,Generator,LV0 0,solar,15359.14532
capital,Generator,LV0 0,solar rooftop,10207.13178
capital,Generator,LV0 0,solar-hsat,9462.95066
capital,Generator,ME0 0,load,0.0
capital,Generator,ME0 0,offwind-ac,565078690.58954
capital,Generator,ME0 0,offwind-dc,425546418.83776
capital,Generator,ME0 0,onwind,3789.71492
capital,Generator,ME0 0,ror,1651793.1934
capital,Generator,ME0 0,solar,40479.7299
capital,Generator,ME0 0,solar rooftop,98581.87202
capital,Generator,ME0 0,solar-hsat,13701.89904
capital,Generator,MK0 0,load,0.0
capital,Generator,MK0 0,onwind,2395.0163
capital,Generator,MK0 0,ror,59045443.2567
capital,Generator,MK0 0,solar,149644006.80126
capital,Generator,MK0 0,solar rooftop,34561897.38427
capital,Generator,MK0 0,solar-hsat,20227.09426
capital,Generator,NL0 0,load,0.0
capital,Generator,NL0 0,offwind-ac,713042233.58912
capital,Generator,NL0 0,offwind-dc,752547.13287
capital,Generator,NL0 0,onwind,1144591343.96651
capital,Generator,NL0 0,solar,17167.46063
capital,Generator,NL0 0,solar rooftop,12673.971
capital,Generator,NL0 0,solar-hsat,10886.00678
capital,Generator,NO1 0,load,0.0
capital,Generator,NO1 0,offwind-ac,18656461257.15169
