component,carrier,bus_carrier,0
Link,naphtha for industry,oil,-276859991.86721
Load,naphtha for industry,naphtha for industry,-276860000.0
Link,solid biomass for industry CC,co2,-289615174.73202
Load,services urban decentral heat,services urban decentral heat,-290777053.14145
Link,residential urban decentral air heat pump,low voltage,-331932123.43127
Link,shipping methanol,methanol,-502969377.52834
Load,shipping methanol,shipping methanol,-502969704.58576
Link,urban central air heat pump,low voltage,-531051568.5394
Load,residential rural heat,residential rural heat,-547909224.68024
Link,kerosene for aviation,oil,-557551684.38803
Link,methanolisation,H2,-582348118.42779
Load,kerosene for aviation,kerosene for aviation,-743906976.62384
Load,solid biomass for industry,solid biomass for industry,-748220000.0
Load,residential urban decentral heat,residential urban decentral heat,-750011223.64407
Link,battery discharger,battery,-782026182.61568
Link,battery charger,AC,-798151844.75642
Link,solid biomass for industry CC,solid biomass,-831355545.85571
Load,land transport EV,EV battery,-980491450.39726
Link,Fischer-Tropsch,H2,-1078877690.1415
Link,BEV charger,low voltage,-1089434580.95903
Load,electricity,low voltage,-1574967174.57493
Load,industry electricity,low voltage,-1769410000.0
Load,urban central heat,urban central heat,-1795359777.45503
Link,H2 Electrolysis,AC,-2632091921.7835
Link,electricity distribution grid,AC,-5569190979.76256
