carrier,0
H2 Electrolysis,-inf
battery charger,-inf
methanolisation,-inf
electricity distribution grid,-8114.923141116511
AC,9.345572013815696
DC,13.605117844267419
solar,27.88285549876123
battery discharger,28.559140361566936
solar-hsat,35.68689912022297
onwind,36.38972845393495
offwind-ac,42.79355879384724
ror,48.23773482621264
load,50.02605210420842
offwind-dc,52.60488816034662
hydro,101.54937116815063
PHS,101.91442060127126
waste CHP CC,139.13415378868044
waste CHP,208.01295636325708
CCGT,500.96188709068883
