component,carrier,bus_carrier,0
Link,residential rural ground heat pump,low voltage,-155316435.98409
Link,Sabatier,H2,-159095670.41846
Line,AC,AC,-173067020.11654
Load,H2 for industry,H2,-179660000.0
Link,Fischer-Tropsch,co2 stored,-201301920.27044
Load,services rural heat,services rural heat,-204568447.88144
Load,agriculture heat,services rural heat,-214811742.63032
Link,electrobiofuels,solid biomass,-217735753.96578
Link,electrobiofuels,H2,-222973095.36099
Load,gas for industry,gas for industry,-231370000.0
Link,naphtha for industry,oil,-276859998.4532
Load,naphtha for industry,naphtha for industry,-276860000.0
Link,solid biomass for industry CC,co2,-289612162.37765
Load,services urban decentral heat,services urban decentral heat,-290777053.14145
Link,residential urban decentral air heat pump,low voltage,-332291417.8361
Link,biogas to gas,biogas,-347323657.4774
Link,shipping methanol,methanol,-502969703.10875
Load,shipping methanol,shipping methanol,-502969704.58576
Link,urban central air heat pump,low voltage,-530881437.82129
Load,residential rural heat,residential rural heat,-547909224.68024
Link,methanolisation,H2,-582348576.7525
Link,kerosene for aviation,oil,-743906974.84413
Load,kerosene for aviation,kerosene for aviation,-743906976.62384
Load,solid biomass for industry,solid biomass for industry,-748220000.0
Load,residential urban decentral heat,residential urban decentral heat,-750011223.64407
Link,solid biomass for industry CC,solid biomass,-831346898.73451
Link,Fischer-Tropsch,H2,-979939044.13986
Load,land transport EV,EV battery,-980491450.39726
Link,BEV charger,low voltage,-1188731218.85011
Load,electricity,low voltage,-1574967174.57493
Load,industry electricity,low voltage,-1769410000.0
Load,urban central heat,urban central heat,-1795359777.45503
Link,H2 Electrolysis,AC,-2899007477.4226
Link,electricity distribution grid,AC,-5632380131.24048
