,0
AC,54.419240221379404
EV battery,62.54681955201317
H2,73.2556372892003
agriculture machinery oil,100000.00913078205
battery,41.38980532129019
co2,-388596.34906838066
co2 sequestered,-18.94831649028678
co2 stored,-15.748059057844474
gas,24.576961398606727
gas for industry,4310.270702576071
home battery,37.888063159698866
industry methanol,96458.23446641202
kerosene for aviation,100000.00992532898
low voltage,77.08454867305717
methanol,82.55189967752803
naphtha for industry,848.5004114360202
non-sequestered HVC,-9976.381709801544
oil,91.87828623864958
oil primary,52.92123453479993
process emissions,-19467.982543597293
residential rural heat,94.68018835067106
residential urban decentral heat,107.24420427493766
services rural heat,65.01735064746791
services urban decentral heat,109.71673091133553
shipping methanol,96458.23412665089
solid biomass,13.657988732457595
solid biomass for industry,-150384.11755232958
urban central heat,77.42276931490336
