carrier,0
H2 Electrolysis,-inf
H2 pipeline,-inf
battery charger,-inf
methanolisation,-inf
electricity distribution grid,-4753.319734961548
AC,12.706212578618748
DC,14.810769120997717
solar,24.777311738737694
solar-hsat,27.519132198510697
onwind,37.71305848546805
offwind-ac,45.54736938796174
offwind-dc,51.44772735470027
ror,51.44775042395109
battery discharger,52.63774266840507
CCGT,59.36242424242424
load,59.52147001934235
waste CHP,63.69836552748886
nuclear,83.19171101910383
PHS,84.83278782095914
hydro,119.4293762999971
waste CHP CC,539.7270114898794
