Technology,Friendly name,Activity long,Unit,Multiplier,Aluminium,Boron,Chromium,Copper,Dysprosium,Manganese,Molybdenum,Neodymium,Nickel,Praseodymium,Terbium,Zinc
DD-EESG,DD-EESG,,MW,1,700,0,525,5000,6,790,109,28,340,9,1,5500
DD-PMSG,DD-PMSG,,MW,1,500,6,525,3000,17,790,109,180,240,35,7,5500
GB-PMSG,GB-PMSG,,MW,1,1600,1,580,950,6,800,119,51,440,4,1,5500
GB-DFIG,GB-DFIG,,MW,1,1400,0,470,1400,2,780,99,12,430,0,0,5500
