Method,Percent allocated (ENTSO-e),Total copper supply 2040 (kt) ,Total cobalt supply 2040 (kt) ,Total lithium supply 2040 (kt) ,Total nickel supply 2040 (kt) ,Total graphite supply 2040 (kt) ,Total REEs supply 2040 (kt) 
Total global,1,31143,333,461,4428,4490,115
GDP share,0.213,6633.459,70.929,98.193,943.164,956.37,24.495
Per capita share,0.068,2117.724,22.644,31.348,301.104,305.32,7.82
Per capita share corrected for energy use,0.046,1432.578,15.318,21.206,203.688,206.54,5.29
