component,carrier,bus_carrier,0
Load,gas for industry,gas for industry,-231370000.0
Link,gas for industry CC,gas,-257077584.49403
Link,naphtha for industry,oil,-276859953.78283
Load,naphtha for industry,naphtha for industry,-276860000.0
Link,V2G,EV battery,-280181372.10502
Link,solid biomass for industry CC,co2,-289615160.42217
Load,services urban decentral heat,services urban decentral heat,-290777053.14145
Link,residential urban decentral air heat pump,low voltage,-331628074.81243
Link,shipping methanol,methanol,-502968393.4464
Load,shipping methanol,shipping methanol,-502969704.58577
Link,urban central air heat pump,low voltage,-531552354.27156
Load,residential rural heat,residential rural heat,-547909224.68024
Link,kerosene for aviation,oil,-555594682.92318
Link,methanolisation,H2,-582345327.42482
Load,kerosene for aviation,kerosene for aviation,-743906976.62384
Load,solid biomass for industry,solid biomass for industry,-748220000.0
Load,residential urban decentral heat,residential urban decentral heat,-750011223.64407
Link,battery discharger,battery,-777426845.8186
Link,battery charger,AC,-793456047.03458
Link,solid biomass for industry CC,solid biomass,-831355504.77852
Load,land transport EV,EV battery,-980491450.39726
Link,Fischer-Tropsch,H2,-1078856173.4102
Link,BEV charger,low voltage,-1400745378.76547
Load,electricity,low voltage,-1574967174.57493
Load,industry electricity,low voltage,-1769410000.0
Load,urban central heat,urban central heat,-1795359777.45503
Link,H2 Electrolysis,AC,-2632056578.56739
Link,electricity distribution grid,AC,-5546963121.56608
