carrier,0
AC,58.46782839641918
EV battery,71.42414334961887
H2,84.00755085503286
agriculture machinery oil,99999.99018550992
battery,58.47116014660615
biogas,0.0
co2,-388613.5645943609
co2 sequestered,-30.519534266455064
co2 stored,-30.487897466609024
gas,24.564501665321135
gas for industry,4313.643746045591
home battery,65.85313425371092
industry methanol,96458.71750658585
kerosene for aviation,99999.98981618656
low voltage,65.98053362067046
methanol,78.76466229916079
naphtha for industry,844.656043494257
non-sequestered HVC,-9976.569620897231
none,0.0
oil,87.43376681404779
oil primary,52.922007637
process emissions,-19483.42339597556
residential rural heat,33.07307750178458
residential urban decentral heat,41.955479584315796
services rural heat,33.57251088589577
services urban decentral heat,42.7569096869125
shipping methanol,96458.71673989225
solid biomass,13.65823968746101
solid biomass for industry,-150384.83403044957
urban central heat,13.805151569708014
