component,carrier,location,bus_carrier,0
Generator,load,ES0 0,services rural heat,0.0
Generator,load,ES0 0,services urban decentral heat,0.0
Generator,load,ES0 0,urban central heat,0.0
Generator,load,ES6 0,AC,46.39868
Generator,load,ES6 0,EV battery,53.07184
Generator,load,ES6 0,H2,49.38354
Generator,load,ES6 0,battery,48.14465
Generator,load,ES6 0,home battery,48.31995
Generator,load,ES6 0,low voltage,45.55217
Generator,load,ES6 0,residential rural heat,0.0
Generator,load,ES6 0,residential urban decentral heat,0.0
Generator,load,ES6 0,services rural heat,0.0
Generator,load,ES6 0,services urban decentral heat,0.0
Generator,load,ES6 0,urban central heat,0.0
Generator,load,EU,agriculture machinery oil,21857521.76164
Generator,load,EU,biogas,0.0
Generator,load,EU,co2,0.0
Generator,load,EU,co2 sequestered,1603.37466
Generator,load,EU,co2 stored,930.73169
Generator,load,EU,gas,0.0
Generator,load,EU,gas for industry,132.46405
Generator,load,EU,industry methanol,1420.42114
Generator,load,EU,kerosene for aviation,188312293.70024
Generator,load,EU,methanol,56.42644
Generator,load,EU,naphtha for industry,46.21761
Generator,load,EU,non-sequestered HVC,127.43563
Generator,load,EU,none,0.0
Generator,load,EU,oil,55.55562
Generator,load,EU,oil primary,0.0
Generator,load,EU,process emissions,317.8207
Generator,load,EU,shipping methanol,1311.13953
Generator,load,EU,solid biomass,49.35008
Generator,load,EU,solid biomass for industry,19.18027
Generator,load,FI1 0,AC,46.49636
Generator,load,FI1 0,EV battery,50.80889
Generator,load,FI1 0,H2,49.33741
Generator,load,FI1 0,battery,48.1971
Generator,load,FI1 0,home battery,48.12741
Generator,load,FI1 0,low voltage,46.10119
Generator,load,FI1 0,residential rural heat,10.03276
Generator,load,FI1 0,residential urban decentral heat,6.84377
Generator,load,FI1 0,services rural heat,10.01302
Generator,load,FI1 0,services urban decentral heat,5.13005
Generator,load,FI1 0,urban central heat,0.0
Generator,load,FR0 0,AC,46.66379
Generator,load,FR0 0,EV battery,49.42798
Generator,load,FR0 0,H2,49.31935
Generator,load,FR0 0,battery,48.31378
Generator,load,FR0 0,home battery,48.45732
Generator,load,FR0 0,low voltage,45.93782
Generator,load,FR0 0,residential rural heat,0.0
Generator,load,FR0 0,residential urban decentral heat,0.18222
Generator,load,FR0 0,services rural heat,0.0
Generator,load,FR0 0,services urban decentral heat,0.15205
Generator,load,FR0 0,urban central heat,0.0
Generator,load,FR5 0,AC,48.75501
Generator,load,FR5 0,EV battery,50.75404
Generator,load,FR5 0,H2,46.33869
Generator,load,FR5 0,battery,48.90486
Generator,load,FR5 0,home battery,49.10392
Generator,load,FR5 0,low voltage,48.96576
Generator,load,FR5 0,residential rural heat,0.0
Generator,load,FR5 0,residential urban decentral heat,0.0
Generator,load,FR5 0,services rural heat,0.0
Generator,load,FR5 0,services urban decentral heat,0.0
Generator,load,GB2 0,AC,46.53153
Generator,load,GB2 0,EV battery,49.38051
Generator,load,GB2 0,H2,49.32533
Generator,load,GB2 0,battery,46.60367
Generator,load,GB2 0,home battery,48.42466
Generator,load,GB2 0,low voltage,45.64398
Generator,load,GB2 0,residential rural heat,0.0
Generator,load,GB2 0,residential urban decentral heat,0.04576
Generator,load,GB2 0,services rural heat,0.0
Generator,load,GB2 0,services urban decentral heat,0.04752
Generator,load,GB2 0,urban central heat,0.0
Generator,load,GB3 0,AC,45.50224
Generator,load,GB3 0,EV battery,53.42283
Generator,load,GB3 0,H2,49.32345
Generator,load,GB3 0,battery,47.34343
Generator,load,GB3 0,home battery,48.70367
Generator,load,GB3 0,low voltage,45.83358
Generator,load,GB3 0,residential rural heat,0.0
Generator,load,GB3 0,residential urban decentral heat,0.0
Generator,load,GB3 0,services rural heat,0.0
Generator,load,GB3 0,services urban decentral heat,0.0
Generator,load,GB3 0,urban central heat,0.0
Generator,load,GR0 0,AC,48.15808
Generator,load,GR0 0,EV battery,50.09952
Generator,load,GR0 0,H2,49.22595
Generator,load,GR0 0,battery,49.18108
Generator,load,GR0 0,home battery,49.28966
Generator,load,GR0 0,low voltage,47.57404
Generator,load,GR0 0,residential rural heat,0.0
Generator,load,GR0 0,residential urban decentral heat,0.03611
Generator,load,GR0 0,services rural heat,0.0
Generator,load,GR0 0,services urban decentral heat,0.03586
Generator,load,GR0 0,urban central heat,0.0
Generator,load,HR0 0,AC,49.53357
Generator,load,HR0 0,EV battery,52.43447
Generator,load,HR0 0,H2,49.25086
Generator,load,HR0 0,battery,49.96521
Generator,load,HR0 0,home battery,50.46555
Generator,load,HR0 0,low voltage,49.59908
Generator,load,HR0 0,residential rural heat,0.0
Generator,load,HR0 0,residential urban decentral heat,0.12184
Generator,load,HR0 0,services rural heat,0.0
Generator,load,HR0 0,services urban decentral heat,0.11538
Generator,load,HR0 0,urban central heat,0.0
Generator,load,HU0 0,AC,45.32675
Generator,load,HU0 0,EV battery,50.7603
Generator,load,HU0 0,H2,49.26051
Generator,load,HU0 0,battery,47.02566
Generator,load,HU0 0,home battery,48.37349
Generator,load,HU0 0,low voltage,45.67369
Generator,load,HU0 0,residential rural heat,0.0
Generator,load,HU0 0,residential urban decentral heat,0.31762
Generator,load,HU0 0,services rural heat,0.0
Generator,load,HU0 0,services urban decentral heat,0.21959
Generator,load,HU0 0,urban central heat,0.0
Generator,load,IE3 0,AC,47.45908
Generator,load,IE3 0,EV battery,51.58922
Generator,load,IE3 0,H2,49.32635
Generator,load,IE3 0,battery,48.68014
Generator,load,IE3 0,home battery,49.5105
Generator,load,IE3 0,low voltage,47.86051
Generator,load,IE3 0,residential rural heat,0.0
