,0
AC,47.957522774100454
EV battery,59.277797834270025
H2,71.47651052700625
agriculture machinery oil,139.7455851995702
battery,38.823999174549314
biogas,62.4474357038309
co2,-310.1481098627819
co2 sequestered,-153.18038600542337
co2 stored,-153.18927541512764
gas,24.577832667781212
gas for industry,67.98203373613151
home battery,36.780663808997886
industry methanol,133.5544734900725
kerosene for aviation,139.7453840295426
low voltage,71.00471674626698
methanol,56.30279635861098
naphtha for industry,67.19083161457799
non-sequestered HVC,-53.02152215743548
oil,59.99680509053049
oil primary,52.92171838612502
process emissions,-184.84361332347805
residential rural heat,77.1224418497038
residential urban decentral heat,85.33192136098846
services rural heat,55.95597068062406
services urban decentral heat,88.08147414824909
shipping methanol,133.5547087981349
solid biomass,100.00834372649054
solid biomass for industry,60.07343662547401
urban central heat,62.84741509149925
