component,carrier,bus_carrier,0
Link,electricity distribution grid,low voltage,5415670248.25588
Generator,onwind,AC,1940467882.77177
Generator,solar,AC,1763664028.1819
Link,urban central air heat pump,urban central heat,1649696159.59646
Link,H2 Electrolysis,H2,1560834513.02612
Generator,solar-hsat,AC,1231624655.74376
Generator,offwind-dc,AC,1051413932.60231
Generator,solid biomass,solid biomass,1049092861.33112
Link,BEV charger,EV battery,980491400.80847
Generator,offwind-ac,AC,783786918.05727
Link,battery charger,battery,773893109.9389
Link,battery discharger,AC,758257329.91621
Generator,nuclear,AC,750000255.63548
Link,residential urban decentral air heat pump,residential urban decentral heat,749971535.59033
Link,solid biomass for industry CC,solid biomass for industry,748216315.78945
Link,kerosene for aviation,kerosene for aviation,743906974.91363
Link,Fischer-Tropsch,oil,525711977.32409
Link,residential rural ground heat pump,residential rural heat,522708518.27143
Link,methanolisation,methanol,511709706.64414
Link,shipping methanol,shipping methanol,502969703.11387
Generator,gas,gas,441588177.71496
Link,services rural ground heat pump,services rural heat,400107968.39423
Generator,solar rooftop,low voltage,372544448.16177
StorageUnit,hydro,AC,341382226.79757
Link,services urban decentral air heat pump,services urban decentral heat,290767733.92196
Link,solid biomass for industry CC,co2 stored,289613752.05555
Link,electrobiofuels,oil,289219669.94875
Link,naphtha for industry,naphtha for industry,276859999.01134
Generator,oil primary,oil primary,270959474.05198
Link,oil refining,oil,257258683.8432
Link,co2 sequestered,co2 sequestered,249997308.61143
Link,gas for industry CC,gas for industry,231362748.64918
Link,kerosene for aviation,co2,191258483.25029
Generator,ror,AC,165469100.76615
Link,process emissions CC,co2 stored,127194780.05806
Link,shipping methanol,co2,124741376.23419
Load,process emissions,process emissions,123130000.0
Store,non-sequestered HVC,non-sequestered HVC,117504290.159
Link,waste CHP CC,urban central heat,89472947.5038
Link,CCGT,AC,84448699.33036
Link,H2 Electrolysis,urban central heat,78141928.6504
Link,SMR CC,H2,76613357.08177
Link,biogas to gas,gas,74616592.61721
Generator,biogas,biogas,74616591.10608
Link,agriculture machinery oil,agriculture machinery oil,51423817.74188
Link,gas for industry CC,co2 stored,48354814.46768
Link,CCGT,co2,27868070.77902
Link,waste CHP CC,co2 stored,27151944.90889
Link,waste CHP CC,AC,25404710.97616
Link,residential rural air heat pump,residential rural heat,25161508.04509
Link,Fischer-Tropsch,urban central heat,24831840.49237
Link,SMR CC,co2 stored,19786232.22025
Link,services rural air heat pump,services rural heat,19253449.13914
Link,agriculture machinery oil,co2,13221063.54144
