carrier,0
H2 Electrolysis,-inf
H2 pipeline,-inf
battery charger,-inf
methanolisation,-inf
electricity distribution grid,-17113.207898142
AC,7.886366839538587
DC,12.095818687538792
solar-hsat,24.041810605924233
solar,26.596592918158905
onwind,36.17768047753194
offwind-ac,44.12461599423246
ror,47.56048558256282
battery discharger,49.64381342715968
offwind-dc,50.16553318830229
load,52.888888888888886
PHS,67.08114372932917
nuclear,68.16873085348038
hydro,93.2229529805148
waste CHP CC,114.5088804411253
waste CHP,166.33160693899146
CCGT,364.5514069031863
