,0
AC,47.30509046878242
EV battery,60.034235743781956
H2,73.30340049619593
agriculture machinery oil,139.72048190209574
battery,38.68710065098595
biogas,62.42949313147108
co2,-310.10170534788057
co2 sequestered,-159.76678077494327
co2 stored,-159.7669915761596
gas,24.57240995736958
gas for industry,69.33875081376172
home battery,36.17836470142346
industry methanol,133.79871035477007
kerosene for aviation,139.72028073206658
low voltage,70.04287874786375
methanol,56.58363201354253
naphtha for industry,67.41991817306278
non-sequestered HVC,-54.80241896248114
oil,59.98365780107833
oil primary,52.92013420900001
process emissions,-191.0770610361561
residential rural heat,84.94909266909478
residential urban decentral heat,92.38667135135654
services rural heat,59.452279689999884
services urban decentral heat,95.68082862661983
shipping methanol,133.79894566283474
solid biomass,98.6104050011039
solid biomass for industry,61.08356550925689
urban central heat,69.019732370741
