carrier,0
AC,53.4497870112009
EV battery,60.43163242517994
H2,81.26921031709131
agriculture machinery oil,139.72048190209517
battery,53.559859479436355
biogas,62.42949313154561
co2,-310.10170534788057
co2 sequestered,-159.76646050649327
co2 stored,-159.76656120036432
gas,24.568768282074966
gas for industry,69.33875081376196
home battery,60.124059042241825
industry methanol,133.7987103547705
kerosene for aviation,139.72028073206678
low voltage,60.952148449224055
methanol,56.880980139778025
naphtha for industry,67.41991817306304
non-sequestered HVC,-54.802507009257546
none,0.0
oil,59.983632378515544
oil primary,52.92013420900002
process emissions,-191.0770610361549
residential rural heat,32.38918224773443
residential urban decentral heat,38.302148151026174
services rural heat,32.586260019414674
services urban decentral heat,39.1050564542554
shipping methanol,133.79894566283448
solid biomass,98.61038614208374
solid biomass for industry,61.08356550925693
urban central heat,17.061180223748618
