cost,component,location,carrier,0
capital,Store,BE0 0,urban central aquifer thermal energy storage,0.0
capital,Store,CH0 0,H2 Store,0.00031
capital,Store,CH0 0,battery,0.00047
capital,Store,CH0 0,urban central aquifer thermal energy storage,0.0
capital,Store,DE0 0,battery,5794378121.55624
capital,Store,DE0 0,urban central aquifer thermal energy storage,0.0
capital,Store,EU,co2,0.0
capital,Store,EU,co2 sequestered,0.00023
capital,Store,EU,co2 stored,0.00046
capital,Store,FR0 0,battery,0.00098
capital,Store,FR0 0,urban central aquifer thermal energy storage,0.0
capital,Store,NL0 0,battery,3996872362.45502
capital,Store,NL0 0,urban central aquifer thermal energy storage,0.0
marginal,Generator,BE0 0,load,1e-05
marginal,Generator,BE0 0,nuclear,297752493.29204
marginal,Generator,BE0 0,offwind-ac,49553.14963
marginal,Generator,BE0 0,offwind-dc,72290.69295
marginal,Generator,BE0 0,offwind-float,116347.01607
marginal,Generator,BE0 0,onwind,639117.46527
marginal,Generator,BE0 0,ror,3163.11333
marginal,Generator,BE0 0,solar,1813485.7425
marginal,Generator,BE0 0,solar-hsat,0.0
marginal,Generator,CH0 0,load,1e-05
marginal,Generator,CH0 0,nuclear,136711474.34133
marginal,Generator,CH0 0,onwind,0.0
marginal,Generator,CH0 0,ror,93936.94265
marginal,Generator,CH0 0,solar,802408.88281
marginal,Generator,CH0 0,solar-hsat,0.0
marginal,Generator,DE0 0,load,0.0
marginal,Generator,DE0 0,nuclear,1898184031.58952
marginal,Generator,DE0 0,offwind-ac,221164.6099
marginal,Generator,DE0 0,offwind-dc,1398283.74228
marginal,Generator,DE0 0,offwind-float,1650952.16261
marginal,Generator,DE0 0,onwind,667147.33876
marginal,Generator,DE0 0,ror,211982.82317
marginal,Generator,DE0 0,solar,12411212.20851
marginal,Generator,DE0 0,solar-hsat,0.0
marginal,Generator,EU,load,0.00076
marginal,Generator,FR0 0,load,5e-05
marginal,Generator,FR0 0,nuclear,1548649158.33523
marginal,Generator,FR0 0,offwind-ac,2e-05
marginal,Generator,FR0 0,offwind-dc,4197176.19082
marginal,Generator,FR0 0,offwind-float,0.0
marginal,Generator,FR0 0,onwind,2689625.95717
marginal,Generator,FR0 0,ror,300627.56964
marginal,Generator,FR0 0,solar,4554532.43193
marginal,Generator,FR0 0,solar-hsat,0.0
marginal,Generator,NL0 0,load,-1e-05
marginal,Generator,NL0 0,nuclear,218327.74891
marginal,Generator,NL0 0,offwind-ac,33982.98788
marginal,Generator,NL0 0,offwind-dc,295470.9134
marginal,Generator,NL0 0,offwind-float,0.0
marginal,Generator,NL0 0,onwind,1636752.67979
marginal,Generator,NL0 0,solar,2279794.93712
marginal,Generator,NL0 0,solar-hsat,0.0
marginal,Link,BE0 0,BEV charger,354440.33657
marginal,Link,BE0 0,H2 Electrolysis,0.0
marginal,Link,BE0 0,battery charger,17728.27053
marginal,Link,BE0 0,battery discharger,18094.6845
marginal,Link,BE0 0,residential rural air heat pump,-31.0618
marginal,Link,BE0 0,residential rural ground heat pump,-29250.3821
marginal,Link,BE0 0,residential urban decentral air heat pump,-259197.67864
marginal,Link,BE0 0,services rural air heat pump,-14.47642
marginal,Link,BE0 0,services rural ground heat pump,-13943.82596
marginal,Link,BE0 0,services urban decentral air heat pump,-104668.05501
marginal,Link,BE0 0,urban central air heat pump,-655296.66855
marginal,Link,BE0 0,urban central aquifer thermal energy storage charger,948378.61136
marginal,Link,BE0 0,urban central aquifer thermal energy storage discharger,151534.56862
marginal,Link,CH0 0,BEV charger,162758.1894
marginal,Link,CH0 0,H2 Electrolysis,0.0
marginal,Link,CH0 0,battery charger,0.0
marginal,Link,CH0 0,battery discharger,0.0
marginal,Link,CH0 0,residential rural air heat pump,-5016.13925
marginal,Link,CH0 0,residential rural ground heat pump,-95103.36014
marginal,Link,CH0 0,residential urban decentral air heat pump,-160785.84926
marginal,Link,CH0 0,services rural air heat pump,-877.20389
marginal,Link,CH0 0,services rural ground heat pump,-39007.5436
marginal,Link,CH0 0,services urban decentral air heat pump,-62255.02962
marginal,Link,CH0 0,urban central air heat pump,-404504.67901
marginal,Link,CH0 0,urban central aquifer thermal energy storage charger,152421.91047
marginal,Link,CH0 0,urban central aquifer thermal energy storage discharger,28313.55845
marginal,Link,DE0 0,BEV charger,1911245.76099
marginal,Link,DE0 0,H2 Electrolysis,0.0
marginal,Link,DE0 0,battery charger,71747.95164
marginal,Link,DE0 0,battery discharger,73668.61639
marginal,Link,DE0 0,residential rural air heat pump,-1196.85599
